lemma,rank,translation,english_definition,original_lemma,pos
automáticas,21819,automatization,adjective,automático,adj
automáticos,21820,automatic,adjective,automático,adj
bañarme,21821,to bathe (to clean a person by immersion in water or using water,verb,bañar,v
colo,21822,contraction of con and lo,verb,colar,v
comunicados,21823,communiqué; statement,noun,comunicado,n
cumples,21824,clipping of cumpleaños,verb,cumplir,v
decidiré,21825,to decide; to make up one's mind; to determine; to choose to,verb,decidir,v
estimados,21826,dear,adjective,estimado,adj
inflexible,21827,inflexible,adjective,inflexible,adj
interceptar,21828,to intercept,verb,interceptar,v
orquestas,21829,orchestra,noun,orquesta,n
pau,21830,pau,,pau,none
reducidas,21831,reduced,adjective,reducido,adj
repeticiones,21832,repetition,noun,repetición,n
retrasó,21833,delay,verb,retrasar,v
saltaron,21834,to jump,verb,saltar,v
significante,21835,significant,noun,significante,n
sueno,21836,sound,verb,sonar,v
vergonzosa,21837,shameful,adjective,vergonzoso,adj
astillero,21838,boatmaking,noun,astillero,n
carretas,21839,cart; dray,noun,carreta,n
cenaremos,21840,to dine,verb,cenar,v
competitivos,21841,competitive,adjective,competitivo,adj
confundirse,21842,to confuse; to throw off; to baffle; to perplex,verb,confundir,v
contribuyente,21843,contributor,noun,contribuyente,n
coágulo,21844,clot,noun,coágulo,n
demostraciones,21845,demonstration,noun,demostración,n
divulgar,21846,to divulge; disclose,verb,divulgar,v
embarazos,21847,pregnancy; childbearing,noun,embarazo,n
espérate,21848,wait,verb,esperar,v
extrañaste,21849,to miss,verb,extrañar,v
grs,21850,A @abbrev of:Guerrero state; Mexico,,grs,none
invadiendo,21851,to invade,verb,invadir,v
pagano,21852,pagan,adjective,pagano,adj
parches,21853,patch,noun,parche,n
pusieras,21854,to put; to put up; to place; to lay,verb,poner,v
puzzle,21855,jigsaw puzzle,noun,puzzle,n
ambiciosos,21856,ambitious,adjective,ambicioso,adj
asignaron,21857,to assign,verb,asignar,v
avioneta,21858,light aircraft,noun,avioneta,n
cachemira,21859,Kashmiri,proper noun,Cachemira,prop
contradictorio,21860,contradictory,adjective,contradictorio,adj
cuidamos,21861,to look after; take care of transitive or +de],verb,cuidar,v
deshace,21862,to undo; to unmake,verb,deshacer,v
devenir,21863,to become,noun,devenir,n
envoltura,21864,wrap,noun,envoltura,n
estupendas,21865,stupendous,adjective,estupendo,adj
fracasa,21866,downfall; ruin; calamity; disaster,verb,fracasar,v
huracanes,21867,hurricane [from early 16th c.],noun,huracán,n
investidura,21868,investiture; inauguration,noun,investidura,n
marginación,21869,marginalization,noun,marginación,n
monet,21870,monet,,monet,none
provocados,21871,caused; brought about; stemming,verb,provocar,v
renos,21872,reindeer; caribou,noun,reno,n
temí,21873,to fear,verb,temer,v
viajé,21874,voyage,verb,viajar,v
yacimiento,21875,deposit,noun,yacimiento,n
alabanzas,21876,praise,noun,alabanza,n
aritmética,21877,arithmetic,noun,aritmética,n
caga,21878,to shit,verb,cagar,v
combatiendo,21879,to combat or fight,verb,combatir,v
etiopía,21880,Ethiopia,proper noun,Etiopía,prop
generada,21881,generated; created; produced,adjective,generado,adj
guion,21882,script; scenario,noun,guion,n
liberarte,21883,to liberate; to release; to free; to set free; to free up,verb,liberar,v
lic,21884,bachelor,noun,lic,n
meridional,21885,southern,adjective,meridional,adj
prometen,21886,to promise,verb,prometer,v
reproducirse,21887,to reproduce,verb,reproducir,v
respetables,21888,respectable,adjective,respetable,adj
viceministro,21889,vice minister,noun,viceministro,n
víboras,21890,viper; adder,noun,víbora,n
cláusulas,21891,clause,noun,cláusula,n
cobras,21892,cobra,verb,cobrar,v
cogida,21893,the tossing of a bullfighter by a bull,adjective,cogido,adj
desembarcar,21894,to disembark,verb,desembarcar,v
esperaron,21895,to wait; to hold on,verb,esperar,v
excrementos,21896,excrement,noun,excremento,n
hostal,21897,hostel,noun,hostal,n
remotas,21898,remote; far-flung,adjective,remoto,adj
romperlo,21899,to break,verb,romper,v
sindicalismo,21900,syndicalism,noun,sindicalismo,n
tapete,21901,runner; carpet; rug,noun,tapete,n
turín,21902,Turin,proper noun,Turín,prop
ultimas,21903,final,verb,ultimar,v
venderlos,21904,to sell,verb,vender,v
causaría,21905,to cause; to make,verb,causar,v
celebraba,21906,to celebrate,verb,celebrar,v
conectan,21907,to connect; connect up; link,verb,conectar,v
dedicamos,21908,to dedicate; to spend time,verb,dedicar,v
excavaciones,21909,excavation,noun,excavación,n
greco,21910,Greek; Grecian,adjective,greco,adj
historieta,21911,anecdote,noun,historieta,n
informará,21912,to inform,verb,informar,v
inmensamente,21913,immensely; hugely,adverb,inmensamente,adv
joselito,21914,given name,proper noun,Joselito,prop
lanzo,21915,to throw,verb,lanzar,v
penitenciaría,21916,penitentiary,noun,penitenciaría,n
pintan,21917,to paint,verb,pintar,v
sabrían,21918,to know; to understand,verb,saber,v
silbar,21919,to whistle,verb,silbar,v
simpatías,21920,sympathy,noun,simpatía,n
tocaría,21921,to touch,verb,tocar,v
triunfante,21922,triumphant,adjective,triunfante,adj
básquetbol,21923,basketball,noun,básquetbol,n
calificados,21924,qualified,adjective,calificado,adj
cauteloso,21925,cautious; chary; cagey; gingerly,adjective,cauteloso,adj
connotaciones,21926,connotation,noun,connotación,n
discutió,21927,to discuss; to argue,verb,discutir,v
entablar,21928,to initiate; to strike up; to engage in; to enter into; to establish; to open,verb,entablar,v
incursiones,21929,raid,noun,incursión,n
llanta,21930,tyre rim; wheelrim,noun,llanta,n
mereció,21931,to deserve,verb,merecer,v
oposiciones,21932,opposition,noun,oposición,n
paraguayo,21933,Paraguayan,adjective,paraguayo,adj
repetida,21934,repeated,adjective,repetido,adj
sumarse,21935,to add,verb,sumar,v
trasplantes,21936,transplant,noun,trasplante,n
columpio,21937,swing,noun,columpio,n
conciliación,21938,conciliation; reconciliation; settlement,noun,conciliación,n
confirmando,21939,someone undergoing confirmation,verb,confirmar,v
corregidos,21940,corrected,adjective,corregido,adj
despertarlo,21941,to wake,verb,despertar,v
existencias,21942,existence,noun,existencia,n
largamos,21943,to chase away,verb,largar,v
novillos,21944,young ox; young bull,noun,novillo,n
praderas,21945,pasture,noun,pradera,n
resguardo,21946,receipt,noun,resguardo,n
semifinal,21947,semifinal; semi-final,noun,semifinal,n
sorprendes,21948,to surprise,verb,sorprender,v
adquisitivo,21949,acquisitive,adjective,adquisitivo,adj
borrón,21950,blot; smudge,noun,borrón,n
budismo,21951,Buddhism,noun,budismo,n
cervical,21952,cervical,adjective,cervical,adj
cultiva,21953,crop,verb,cultivar,v
deletrear,21954,to spell; to spell out,verb,deletrear,v
emprendió,21955,to undertake; to engage in,verb,emprender,v
examinó,21956,to examine,verb,examinar,v
grimes,21957,grime,noun,grime,n
lubricante,21958,lubricant,noun,lubricante,n
mostraremos,21959,to show,verb,mostrar,v
polígono,21960,polygon,noun,polígono,n
tampa,21961,Tampa,proper noun,Tampa,prop
tememos,21962,to fear,verb,temer,v
arn,21963,RNA,noun,ARN,n
asigna,21964,to assign,verb,asignar,v
cinematografía,21965,cinematography,noun,cinematografía,n
clandestinos,21966,clandestine,adjective,clandestino,adj
cosechar,21967,to harvest,verb,cosechar,v
herejía,21968,heresy,noun,herejía,n
humillada,21969,humiliated,adjective,humillado,adj
inservible,21970,useless; good for nothing; unserviceable,adjective,inservible,adj
leonel,21971,given name,proper noun,Leonel,prop
lógicas,21972,logic,noun,lógica,n
muletas,21973,crutch,noun,muleta,n
party,21974,party,noun,party,n
premiado,21975,award-winning; prizewinning; awarded,adjective,premiado,adj
representativos,21976,representative,adjective,representativo,adj
utilizará,21977,to use,verb,utilizar,v
abuelas,21978,grandparent,noun,abuelo,n
ambulantes,21979,travelling; ambulant,adjective,ambulante,adj
analizó,21980,to analyze,verb,analizar,v
bucal,21981,buccal,adjective,bucal,adj
cogerle,21982,to take; catch; hold; to get; to seize,verb,coger,v
condecorado,21983,to decorate; to award,verb,condecorar,v
disfrutamos,21984,to enjoy,verb,disfrutar,v
eficazmente,21985,effectively; effectually,adverb,eficazmente,adv
estafadores,21986,conman; swindler,noun,estafador,n
gérard,21987,gerard,,gérard,none
melones,21988,melon,noun,melón,n
nexo,21989,link; connection; nexus,noun,nexo,n
pavor,21990,dread; fright; fear,noun,pavor,n
seiscientos,21991,six hundred,numeral,seiscientos,num
utilizarla,21992,to use,verb,utilizar,v
blindados,21993,armoured,adjective,blindado,adj
canso,21994,withering,verb,cansar,v
desmontar,21995,to dismantle; to disassemble; to demount; to take apart,verb,desmontar,v
hipócritas,21996,hypocritical,adjective,hipócrita,adj
legiones,21997,legion,noun,legión,n
mecánicas,21998,female equivalent of mecánico,adjective,mecánico,adj
protagonizado,21999,to star in; to be the protagonist in,verb,protagonizar,v
adultas,22000,adult,adjective,adulto,adj
afectaría,22001,to affect; to have an effect on; to influence,verb,afectar,v
arrendamiento,22002,leasing; rental; lease,noun,arrendamiento,n
conocerán,22003,to know; to be familiar with; to be acquainted with,verb,conocer,v
entusiasma,22004,enthusiasm,verb,entusiasmar,v
favorecido,22005,favorite; favored; frontrunner,verb,favorecer,v
glaciar,22006,glacier,noun,glaciar,n
inmensas,22007,immense,adjective,inmenso,adj
inmóviles,22008,motionless; immobile; unmoving; still; stationary; static,adjective,inmóvil,adj
patriótica,22009,patriotic,adjective,patriótico,adj
pelucas,22010,wig,noun,peluca,n
profecías,22011,prophecy,noun,profecía,n
profesionalidad,22012,professionalism,noun,profesionalidad,n
saavedra,22013,A neighborhood of Buenos Aires in Argentina,proper noun,Saavedra,prop
titanes,22014,titan,noun,titán,n
amorosos,22015,amorous,adjective,amoroso,adj
arrasar,22016,to level; to smooth,verb,arrasar,v
calumnias,22017,slander; calumny; aspersion; libel; defamation,noun,calumnia,n
camarógrafo,22018,cameraman; camera operator,noun,camarógrafo,n
ciegamente,22019,blindly,adverb,ciegamente,adv
concedo,22020,to grant; to concede; to admit; to bestow,verb,conceder,v
criolla,22021,a style of music from Cuba; in 6/8 time,adjective,criollo,adj
defraudado,22022,to defraud,verb,defraudar,v
etarra,22023,ETA; of ETA,adjective,etarra,adj
gemido,22024,moan; groan,noun,gemido,n
grillos,22025,shackles,noun,grillo,n
inagotable,22026,inexhaustible,adjective,inagotable,adj
monada,22027,action of a monkey,noun,monada,n
ordinarios,22028,ordinary; standard,adjective,ordinario,adj
parecéis,22029,to seem; to see fit,verb,parecer,v
planeamiento,22030,planning,noun,planeamiento,n
quinientas,22031,five hundred,numeral,quinientos,num
acortar,22032,to shorten,verb,acortar,v
agudas,22033,sharp; pointed; acute,adjective,agudo,adj
alfaro,22034,A city in La Rioja; Spain,proper noun,Alfaro,prop
coto,22035,preserve; wildlife preserve; land preserve,noun,coto,n
dolorosos,22036,painful,adjective,doloroso,adj
guardabosques,22037,gamekeeper; game warden,noun,guardabosques,n
intocable,22038,untouchable,adjective,intocable,adj
marcaron,22039,to mark; to set,verb,marcar,v
obrar,22040,to act; to behave,verb,obrar,v
pacientemente,22041,patiently,adverb,pacientemente,adv
pasivos,22042,passive,adjective,pasivo,adj
patrañas,22043,tall tale,noun,patraña,n
reproducen,22044,to reproduce,verb,reproducir,v
segun,22045,according to,preposition,según,prep
soportas,22046,to support a weight or load,verb,soportar,v
aguardaba,22047,to wait,verb,aguardar,v
anticuada,22048,antiquated,adjective,anticuado,adj
ató,22049,to tie; tie up; tie down; to tether (secure by rope or the like),verb,atar,v
ciudadela,22050,citadel,noun,ciudadela,n
eros,22051,eros,proper noun,Eros,prop
fragmentación,22052,fragmentation,noun,fragmentación,n
infectadas,22053,infected,adjective,infectado,adj
informo,22054,to inform,verb,informar,v
inherente,22055,inherent,adjective,inherente,adj
insumos,22056,consumer goods; consumables,noun,insumos,n
internamente,22057,inside; within; internally,adverb,internamente,adv
magdalenas,22058,madeleine,proper noun,Magdalena,prop
mojadas,22059,female equivalent of mojado,adjective,mojado,adj
participaciones,22060,participation,noun,participación,n
quincena,22061,a period of fifteen days,noun,quincena,n
sevillano,22062,Sevillian; Sevillan,adjective,sevillano,adj
sigilo,22063,sigil,noun,sigilo,n
visionario,22064,visionary,noun,visionario,n
abarcar,22065,to embrace,verb,abarcar,v
bañar,22066,to bathe (to clean a person by immersion in water or using water,verb,bañar,v
consisten,22067,to consist of,verb,consistir,v
cuidaría,22068,to look after; take care of transitive or +de],verb,cuidar,v
estropeó,22069,to ruin; spoil,verb,estropear,v
fallamos,22070,to fail,verb,fallar,v
falle,22071,to err,verb,fallar,v
finalista,22072,finalist,noun,finalista,n
inundado,22073,flooded; inundated,adjective,inundado,adj
malibú,22074,Malibú,proper noun,Malibú,prop
recorren,22075,to tour,verb,recorrer,v
sobresalientes,22076,outstanding,adjective,sobresaliente,adj
sumaron,22077,to add,verb,sumar,v
terceras,22078,a third,adjective,tercero,adj
arqueólogo,22079,archeologist,noun,arqueólogo,n
arévalo,22080,surname,proper noun,Arévalo,prop
atrevimiento,22081,boldness,noun,atrevimiento,n
barbería,22082,barbershop,noun,barbería,n
circunferencia,22083,circumference,noun,circunferencia,n
clonación,22084,cloning,noun,clonación,n
cocidas,22085,cooked; boiled,adjective,cocido,adj
continuando,22086,to continue; to carry on,verb,continuar,v
contornos,22087,contour; outline; boundary,noun,contorno,n
correspondido,22088,to correspond to,verb,corresponder,v
electrónicas,22089,electronics,adjective,electrónico,adj
evitarse,22090,to avoid; to bypass; to evade; to circumvent; to dodge; to shun; to eschew,verb,evitar,v
fernanda,22091,given name,proper noun,Fernanda,prop
godoy,22092,surname,proper noun,Godoy,prop
injerto,22093,grafting,noun,injerto,n
mena,22094,ore,proper noun,Mena,prop
nerds,22095,nerd,noun,nerd,n
quietas,22096,calm,adjective,quieto,adj
rivero,22097,surname,proper noun,Rivero,prop
santificado,22098,sanctified; hallowed; made holy,adjective,santificado,adj
voilà,22099,voilà; lo and behold!,interjection,vualá,interj
íntegro,22100,complete; integral; whole,adjective,íntegro,adj
agotar,22101,to exhaust; deplete; use up,verb,agotar,v
biberón,22102,bottle,noun,biberón,n
disuelto,22103,dissolved; disbanded,adjective,disuelto,adj
dávila,22104,surname,proper noun,Dávila,prop
elfo,22105,elf,noun,elfo,n
fabulosos,22106,fable; myth; legend,adjective,fabuloso,adj
gerona,22107,Girona,proper noun,Gerona,prop
halagada,22108,flattered,adjective,halagado,adj
palmada,22109,slap,noun,palmada,n
pararé,22110,to stop; halt,verb,parar,v
preceptos,22111,precept; rule,noun,precepto,n
raciales,22112,racial,adjective,racial,adj
trazas,22113,trace,noun,traza,n
aclararlo,22114,to clarify; clear,verb,aclarar,v
aya,22115,person who takes care of children; tutor,noun,ayo,n
cardiovascular,22116,cardiovascular,adjective,cardiovascular,adj
contigua,22117,contiguous,adjective,contiguo,adj
contrapartida,22118,counterpart,noun,contrapartida,n
contratan,22119,to contract; to take on,verb,contratar,v
decoro,22120,appropriateness; proper behavior,noun,decoro,n
determinantes,22121,determiner,noun,determinante,n
diestra,22122,right hand,noun,diestra,n
domiciliario,22123,house; home,adjective,domiciliario,adj
hinchas,22124,annoying,noun,hincha,n
infecciosas,22125,infectious,adjective,infeccioso,adj
naranjo,22126,orange tree,noun,naranjo,n
orión,22127,Orion,proper noun,Orión,prop
pinar,22128,pine grove,noun,pinar,n
socialización,22129,socialization,noun,socialización,n
tapiz,22130,tapestry,noun,tapiz,n
acompañadas,22131,side dish,verb,acompañar,v
asistenta,22132,female equivalent of asistente,noun,asistente,n
cagó,22133,to shit,verb,cagar,v
camaleón,22134,chameleon,noun,camaleón,n
chic,22135,chic,adjective,chic,adj
devotos,22136,devoted; devout,noun,devoto,n
habias,22137,makes pluperfect to verbs as part of the auxiliary verb haber,,habias,none
lirios,22138,flag,noun,lirio,n
octavia,22139,given name,,octavia,none
portar,22140,to bear; to carry,verb,portar,v
repararlo,22141,to notice,verb,reparar,v
vietnamita,22142,Vietnamese,adjective,vietnamita,adj
abordado,22143,to address; to broach; to approach; to discuss; to touch on,verb,abordar,v
adoptaron,22144,to adopt,verb,adoptar,v
arribo,22145,arrival,noun,arribo,n
calló,22146,callus,verb,callar,v
celebrarán,22147,to celebrate,verb,celebrar,v
confinado,22148,confined,adjective,confinado,adj
cómodas,22149,chest of drawers,adjective,cómodo,adj
discotecas,22150,discotheque; club,noun,discoteca,n
escandalosa,22151,topsail,adjective,escandaloso,adj
exportadores,22152,exporting,noun,exportador,n
jaume,22153,jaume,,jaume,none
kosovo,22154,Kosovo,proper noun,Kosovo,prop
leches,22155,milk,noun,leche,n
meros,22156,mere,adjective,mero,adj
mojados,22157,wet,adjective,mojado,adj
mujerzuela,22158,slut,noun,mujerzuela,n
neutro,22159,neuter,adjective,neutro,adj
quedarías,22160,to be; to end up,verb,quedar,v
retablo,22161,tableau,noun,retablo,n
semántica,22162,semantics,adjective,semántico,adj
sintomatología,22163,symptomatology,noun,sintomatología,n
villegas,22164,surname,proper noun,Villegas,prop
benéfico,22165,beneficial; beneficent,adjective,benéfico,adj
catre,22166,cot,noun,catre,n
estudiaste,22167,to study,verb,estudiar,v
fertilizante,22168,fertilizer,noun,fertilizante,n
forzosamente,22169,compulsorily; obligatorily,adverb,forzosamente,adv
hard,22170,hard; heavy; hardcore,adjective,hard,adj
implícita,22171,implicit,adjective,implícito,adj
pactar,22172,to agree upon,verb,pactar,v
partirá,22173,to divide; split,verb,partir,v
perseverancia,22174,perseverance,noun,perseverancia,n
poniente,22175,west; western,noun,poniente,n
transitoria,22176,transitory,adjective,transitorio,adj
turísticas,22177,Related to tours and tourism,adjective,turístico,adj
afluencia,22178,inflow; influx,noun,afluencia,n
atraparlos,22179,to capture,verb,atrapar,v
burlar,22180,to outwit; to outsmart; to circumvent; to trick; to deceive,verb,burlar,v
callejones,22181,alley; side street,noun,callejón,n
chamán,22182,shaman,noun,chamán,n
constructiva,22183,constructive,adjective,constructivo,adj
derrumba,22184,to demolish,verb,derrumbar,v
insertar,22185,to insert,verb,insertar,v
narcotraficante,22186,drug trafficker,noun,narcotraficante,n
nicholson,22187,nicholson,,nicholson,none
ordenanzas,22188,orderly,noun,ordenanza,n
reservé,22189,to reserve; keep; save,verb,reservar,v
torear,22190,to fight a bull,verb,torear,v
ubicadas,22191,located; situated,adjective,ubicado,adj
abandonamos,22192,to abandon; to leave,verb,abandonar,v
adquisiciones,22193,procurement,noun,adquisición,n
aeronave,22194,airship,noun,aeronave,n
arbitro,22195,to arbitrate,verb,arbitrar,v
arrastraba,22196,to drag,verb,arrastrar,v
arrugado,22197,wrinkled; wrinkly; crinkly,adjective,arrugado,adj
buscarlas,22198,to seek; search for; look for; try to find; to scour,verb,buscar,v
cargan,22199,to load (to put a load on or in),verb,cargar,v
delgados,22200,thin; skinny,adjective,delgado,adj
escapará,22201,to escape; get out,verb,escapar,v
incluirá,22202,to include; to enclose; to contain,verb,incluir,v
mundialmente,22203,worldwide,adverb,mundialmente,adv
ranking,22204,ranking,noun,ranking,n
rublos,22205,ruble,noun,rublo,n
samba,22206,samba,noun,samba,n
sudoeste,22207,southwest,noun,sudoeste,n
uniendo,22208,to unite; join,verb,unir,v
vestidor,22209,dressing room; walk-in closet; walk-in wardrobe,noun,vestidor,n
apúrese,22210,A state; Venezuela,verb,apurar,v
azote,22211,whip; lash; scourge,noun,azote,n
cisnes,22212,swan,noun,cisne,n
condujeron,22213,to drive,verb,conducir,v
creativas,22214,creative,adjective,creativo,adj
dubai,22215,dubai,,dubai,none
gobernadora,22216,female equivalent of gobernador,noun,gobernador,n
marxistas,22217,Marxist,adjective,marxista,adj
mistral,22218,mistral,noun,mistral,n
nevando,22219,to snow,verb,nevar,v
oligarquía,22220,oligarchy,noun,oligarquía,n
anfetaminas,22221,amphetamine,noun,anfetamina,n
besaba,22222,to kiss,verb,besar,v
brazaletes,22223,bracelet,noun,brazalete,n
chakra,22224,chakra,noun,chakra,n
devolvieron,22225,to return; refund; restore; give back; hand back; bring back; send back etc,verb,devolver,v
disputado,22226,to dispute,verb,disputar,v
fuman,22227,to smoke,verb,fumar,v
inventada,22228,invented,adjective,inventado,adj
ladrar,22229,to bark,verb,ladrar,v
ocasionales,22230,occasional,adjective,ocasional,adj
rugido,22231,roar,noun,rugido,n
saludarte,22232,to greet,verb,saludar,v
unitario,22233,unitary,adjective,unitario,adj
apoyaron,22234,to lean; to rest; to lie or lay,verb,apoyar,v
atacamos,22235,to attack; to come at,verb,atacar,v
castigando,22236,to punish; to castigate,verb,castigar,v
conmovió,22237,to affect; move; touch,verb,conmover,v
controlarte,22238,to control; to rein in,verb,controlar,v
entrenó,22239,training session,verb,entrenar,v
fallecida,22240,deceased; departed,adjective,fallecido,adj
galante,22241,gallant; charming,adjective,galante,adj
horóscopo,22242,horoscope,noun,horóscopo,n
innecesariamente,22243,unnecessarily,adverb,innecesariamente,adv
sustenta,22244,sustenance,verb,sustentar,v
sílabas,22245,syllable,noun,sílaba,n
tentáculos,22246,tentacle,noun,tentáculo,n
concursante,22247,competing,noun,concursante,n
decadente,22248,decaying; deteriorating; in decline,adjective,decadente,adj
dártelo,22249,to give; to give out,verb,dar,v
ensuciar,22250,to dirty; soil; to stain,verb,ensuciar,v
esperarás,22251,to wait; to hold on,verb,esperar,v
estorbo,22252,obstacle,noun,estorbo,n
estrangulado,22253,to strangle,verb,estrangular,v
estriba,22254,stirrup,verb,estribar,v
liberaron,22255,to liberate; to release; to free; to set free; to free up,verb,liberar,v
meteorológico,22256,meteorologic; meteorological,adjective,meteorológico,adj
parroquial,22257,parochial,adjective,parroquial,adj
pericia,22258,skill,noun,pericia,n
porras,22259,shit,proper noun,Porras,prop
resistencias,22260,resistance,noun,resistencia,n
traumática,22261,traumatic,adjective,traumático,adj
altísimo,22262,the Almighty,adjective,altísimo,adj
antepasado,22263,before last,noun,antepasado,n
aplicables,22264,applicable,adjective,aplicable,adj
apoyará,22265,to lean; to rest; to lie or lay,verb,apoyar,v
avestruz,22266,ostrich,noun,avestruz,n
conectarse,22267,to connect; connect up; link,verb,conectar,v
emparedado,22268,sandwich,noun,emparedado,n
nitidez,22269,clarity; clearness,noun,nitidez,n
oval,22270,oval,adjective,oval,adj
precisan,22271,to state; specify,verb,precisar,v
probarme,22272,to prove,verb,probar,v
putita,22273,whore; slut; prostitute,noun,putita,n
rodear,22274,to round up,verb,rodear,v
sacrificó,22275,to sacrifice,verb,sacrificar,v
zelda,22276,link,noun,zelda,n
cabezón,22277,big-headed,noun,cabezón,n
coreana,22278,female equivalent of coreano,adjective,coreano,adj
entenderme,22279,to understand; to fathom,verb,entender,v
espasmos,22280,spasm; jerk; twitch,noun,espasmo,n
madriguera,22281,burrow; den; sett; warren,noun,madriguera,n
mataban,22282,to kill; slay,verb,matar,v
newark,22283,newark,,newark,none
planas,22284,surname,noun,plana,n
priscilla,22285,apricot,,priscilla,none
protestó,22286,protest,verb,protestar,v
sudamericano,22287,South American,adjective,sudamericano,adj
tirantes,22288,braces,noun,tirante,n
aspiran,22289,to inhale,verb,aspirar,v
confia,22290,to reassure,,confia,none
demandando,22291,to insist; ask; request,verb,demandar,v
desplazados,22292,out of place,verb,desplazar,v
doblando,22293,to fold,verb,doblar,v
frailes,22294,friar,noun,fraile,n
lula,22295,given name,proper noun,Lula,prop
nulidad,22296,nullity; void,noun,nulidad,n
partidaria,22297,female equivalent of partidario,adjective,partidario,adj
prevalece,22298,to prevail,verb,prevalecer,v
provocaba,22299,to cause or provoke; to prompt,verb,provocar,v
selectivo,22300,selective; choosy,adjective,selectivo,adj
aprenderé,22301,to learn,verb,aprender,v
asesinando,22302,to murder,verb,asesinar,v
averiguaciones,22303,inquiry; inquest,noun,averiguación,n
chefs,22304,chef; head cook,noun,chef,n
chocante,22305,off-putting,adjective,chocante,adj
clavícula,22306,collarbone; clavicle,noun,clavícula,n
conservo,22307,to conserve,verb,conservar,v
controlas,22308,to control; to rein in,verb,controlar,v
demandan,22309,to insist; ask; request,verb,demandar,v
descomunal,22310,extraordinary,adjective,descomunal,adj
devastado,22311,devastated,adjective,devastado,adj
garrote,22312,garrote,noun,garrote,n
inoportuno,22313,inopportune,adjective,inoportuno,adj
lagartija,22314,a small lizard,noun,lagartija,n
perplejidad,22315,perplexity,noun,perplejidad,n
perspicaz,22316,perceptive; perspicacious; insightful; shrewd,adjective,perspicaz,adj
petroleras,22317,oil company,adjective,petrolero,adj
pretendió,22318,to intend; to aim,verb,pretender,v
renegado,22319,renegade,noun,renegado,n
telaraña,22320,spiderweb,noun,telaraña,n
vacio,22321,to empty,,vacio,none
destroza,22322,destruction,verb,destrozar,v
induce,22323,to lead,verb,inducir,v
reinserción,22324,reinsertion,noun,reinserción,n
equivocaron,22325,to mistake; mix up,verb,equivocar,v
excedentes,22326,excessive,noun,excedente,n
inalcanzable,22327,unreachable,adjective,inalcanzable,adj
indestructible,22328,indestructible,adjective,indestructible,adj
matrimoniales,22329,matrimonial,adjective,matrimonial,adj
nadador,22330,swimmer,noun,nadador,n
ovarios,22331,ovary,noun,ovario,n
portátiles,22332,portable,adjective,portátil,adj
practico,22333,to practice,verb,practicar,v
rene,22334,kidney,noun,rene,n
sellados,22335,sealed,adjective,sellado,adj
temían,22336,to fear,verb,temer,v
vértice,22337,vertex,noun,vértice,n
belfast,22338,Belfast,proper noun,Belfast,prop
cotas,22339,coat of arms,noun,cota,n
desistir,22340,to desist; to give up,verb,desistir,v
divertiste,22341,to entertain,verb,divertir,v
gluten,22342,gluten,noun,gluten,n
justifican,22343,to justify,verb,justificar,v
posteridad,22344,posterity,noun,posteridad,n
preocupando,22345,to worry; to concern; to trouble; to be worrisome to; to preoccupy,verb,preocupar,v
primicia,22346,scoop,noun,primicia,n
reflexiona,22347,to reflect,verb,reflexionar,v
rehusó,22348,to refuse,verb,rehusar,v
sarmiento,22349,vine shoot,proper noun,Sarmiento,prop
toño,22350,given name,proper noun,Toño,prop
transversal,22351,transversal,adjective,transversal,adj
aeródromo,22352,airfield; aerodrome; airdrome; landing field,noun,aeródromo,n
aislante,22353,insulating,adjective,aislante,adj
aterriza,22354,to land,verb,aterrizar,v
centrar,22355,to focus; to center,verb,centrar,v
chorros,22356,flow,noun,chorro,n
disparará,22357,to shoot; to fire,verb,disparar,v
fisco,22358,fisc,noun,fisco,n
hubble,22359,hubble,,hubble,none
inflexión,22360,inflection,noun,inflexión,n
ingresaron,22361,to join,verb,ingresar,v
medioambiental,22362,environmental,adjective,medioambiental,adj
migraña,22363,migraine,noun,migraña,n
pija,22364,female equivalent of pijo,noun,pijo,n
presidio,22365,prison,noun,presidio,n
sácanos,22366,large sack; bag,verb,sacar,v
vengador,22367,avenger,noun,vengador,n
acercaban,22368,to bring close,verb,acercar,v
alcances,22369,reach; range; scope,noun,alcance,n
antoja,22370,craving; whim; impulse,verb,antojarse,v
ascendieron,22371,to ascend; to mount; to climb,verb,ascender,v
bruma,22372,haze; especially costal fog or haar,noun,bruma,n
cornudo,22373,horned,noun,cornudo,n
embrague,22374,clutch,noun,embrague,n
entregaste,22375,to deliver; to hand over; to hand off,verb,entregar,v
filmó,22376,to film,verb,filmar,v
melancólica,22377,melancholic,adjective,melancólico,adj
orgasmos,22378,orgasm,noun,orgasmo,n
piratería,22379,piracy,noun,piratería,n
saltaba,22380,to jump,verb,saltar,v
secuaces,22381,said of a follower of someone else's opinion; opportunistic,noun,secuaz,n
virilidad,22382,virility,noun,virilidad,n
butacas,22383,armchair,noun,butaca,n
búfalos,22384,buffalo,noun,búfalo,n
devolviendo,22385,to return; refund; restore; give back; hand back; bring back; send back etc,verb,devolver,v
follaje,22386,foliage,noun,follaje,n
guionistas,22387,screenwriter,noun,guionista,n
huía,22388,to flee; to run away,verb,huir,v
justificó,22389,to justify,verb,justificar,v
largado,22390,to chase away,verb,largar,v
palabrotas,22391,offensive word; swear word; swear,noun,palabrota,n
recibimiento,22392,reception,noun,recibimiento,n
