rank,lemma,translation_original,translation_old_latest_pass,translation_new,latest_pass,passes_touched
11801,guapas,arrowroot (feminine plural),arrowroot (feminine plural),pretty; attractive (feminine plural),3,3
11867,llevabas,you tooked (ongoing habitual/background past),you tooked (ongoing habitual/background past),you took (ongoing habitual/background past),2,2
11957,repetía,I repeated ); he repeated ); she repeated ); it repeated ) (ongoing habitual/background past),I repeated ); he repeated ); she repeated ); it repeated ) (ongoing habitual/background past),I repeated; he repeated; she repeated; it repeated (ongoing habitual/background past),4,4
12271,cogieron,they tooked (completed past),they tooked (completed past),they took (completed past),2,2
12310,guapos,arrowroot (masculine plural),arrowroot (masculine plural),handsome; good-looking (masculine plural),3,3
12316,deportista,sportsperson,sportsperson,athlete; sportsperson,11,11
12460,gustarle,to taste to him or her,to taste to him or her,to be pleasing to him/her,2,2
12621,olvidaron,they forgeted (completed past),they forgeted (completed past),they forgot (completed past),2,2
12674,ratito,bit; a while,bit; a while,little while; moment,4,4
12869,buscabas,you seeked (ongoing habitual/background past),you seeked (ongoing habitual/background past),you looked for (ongoing habitual/background past),2,2
12877,gobernadores,governor (plural),governor (plural),governors,11,11
12998,bikini,ham and cheese sandwich,ham and cheese sandwich,bikini,3,3
13201,gustaron,they tasted (completed past),they tasted (completed past),liked; were pleasing to,2,2
13258,convocó,he called; she called; it called (completed past),he called; she called; it called (completed past),he summoned; she summoned; it summoned (completed past),4,4
13418,buscaron,they seeked (completed past),they seeked (completed past),they looked for (completed past),2,2
13521,vocero,spokesman,spokesman,spokesperson,11,11
13709,llamarlos,to summon them (masculine),to summon them (masculine),to call them,2,2
13812,pegas,Eurasian magpie (plural),Eurasian magpie (plural),drawbacks; catches,4,4
13885,llevábamos,we tooked (ongoing habitual/background past),we tooked (ongoing habitual/background past),we took (ongoing habitual/background past),2,2
13940,deberemos,we will owe,we will owe,we will have to,2,2
13996,llamarás,you will summon,you will summon,you will call,2,2
14096,gustarme,to taste me,to taste me,to be pleasing to me,2,2
14344,caían,they felled (ongoing habitual/background past),they felled (ongoing habitual/background past),they fell (ongoing habitual/background past),2,2
14400,josefina,female equivalent of josefino (feminine singular),female equivalent of josefino (feminine singular),Josefina,3,3
14615,llámala,summon it (feminine),summon it (feminine),call her/it,2,2
14710,tomaban,they tooked (ongoing habitual/background past),they tooked (ongoing habitual/background past),they took (ongoing habitual/background past),2,2
14878,tiradores,shooter; rifleman (plural),shooter; rifleman (plural),shooters; marksmen (plural),10,10
15183,cargó,he loaded ); she loaded ); it loaded ) (completed past),he loaded ); she loaded ); it loaded ) (completed past),he loaded; she loaded; it loaded (completed past),4,4
15224,congresistas,congressperson (plural),congressperson (plural),members of congress; legislators (plural),10,10
15276,llamarán,they will summon,they will summon,they will call,2,2
15303,mexicanas,compare mexiquense) (feminine plural),compare mexiquense) (feminine plural),Mexican (feminine plural),3,3
15349,gustarte,to taste you,to taste you,to be pleasing to you,2,2
15527,llamabas,you summoned (ongoing habitual/background past),you summoned (ongoing habitual/background past),you called (ongoing habitual/background past),2,2
15569,montesinos,mountain-; synonym of montés (masculine plural),mountain-; synonym of montés (masculine plural),Montesinos,3,3
15730,buscaste,you seeked (completed past),you seeked (completed past),you looked for (completed past),2,2
15787,portavoces,spokesman; spokeswoman; spokesperson (plural),spokespeople; spokespersons (plural),spokespeople; spokespersons,11,10|11
16124,purgatorio,synonym of purgativo,synonym of purgativo,purgatory,3,3
16384,deberé,I will owe,I will owe,I will have to,2,2
16480,demandado,defendant,defendant,defendant; sued,11,11
16495,repetirse,to repeat ),to repeat ),to repeat oneself; to recur,4,4
17068,llamábamos,we summoned (ongoing habitual/background past),we summoned (ongoing habitual/background past),we called (ongoing habitual/background past),2,2
17094,llamarías,you would summon,you would summon,you would call,2,2
17332,denominados,named; called; entitled; denominated (masculine plural),named; called; entitled; denominated (masculine plural),named; called (masculine plural),4,4
17375,disparamos,we shooted,we shooted,we shot,2,2
17457,reo,defendant,defendant,defendant; convict,11,11
17722,llamarnos,to be called,to be called,to call us,2,2
17831,buscábamos,we seeked (ongoing habitual/background past),we seeked (ongoing habitual/background past),we looked for (ongoing habitual/background past),2,2
17862,gustando,tasting,tasting,liking; being pleasing,2,2
17998,burrito,Aloysia polystachya,Aloysia polystachya,burrito; little donkey,2,2
18183,cogía,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I took; he took; she took; it took (ongoing habitual/background past),2,2
18391,llamame,I summon,I summon,call me,2,2
18458,gustabas,you tasted (ongoing habitual/background past),you tasted (ongoing habitual/background past),you liked; used to like; were pleasing to,2,2
18479,condicionado,synonym of acondicionado,synonym of acondicionado,conditioned,3,3
18581,pedófilo,pedophilic who is sexually attracted to children ),pedophilic who is sexually attracted to children ),pedophile; pedophilic,4,4
19004,santísima,holy; godly (feminine singular),holy; godly (feminine singular),most holy,2,2
19050,taxistas,taxi driver (plural),taxi driver (plural),taxi drivers,11,11
19128,debidas,owed (feminine plural),owed (feminine plural),due; owed (feminine plural),2,2
19357,santas,holy; godly (feminine plural),holy; godly (feminine plural),saints; holy,2,2
19379,manitas,handyman (plural),handyman (plural),handymen; handy people (plural),10,10
19568,cumples,birthday (plural),birthday (plural),birthdays,10,10
19706,abuelas,grandmother; female equivalent of abuelo (plural),grandmother; female equivalent of abuelo (plural),grandmothers,3,3
19890,cargan,they load ),they load ),they load; they carry,4,4
20056,palabrotas,swear; swear word; offensive word (plural),swear; swear word; offensive word (plural),swear words; curse words (plural),10,10
20130,condicionada,synonym of acondicionado (feminine singular),synonym of acondicionado (feminine singular),conditioned (feminine singular),3,3
20168,llamáis,you summon (vosotros present indicative),you summon (vosotros present indicative),you call (vosotros present indicative),2,2
20755,repetimos,we repeated ),we repeated ),we repeat; we repeated,4,4
20832,denominadas,named; called; entitled; denominated (feminine plural),named; called; entitled; denominated (feminine plural),named; called (feminine plural),4,4
20892,facto,a truth; a trufax; an opinion considered a true fact,a truth; a trufax; an opinion considered a true fact,in fact; by the fact,2,2
21085,descargando,unloading,unloading,downloading; unloading,2,2
21121,gestores,manager; overseer (plural),manager; overseer (plural),managers; administrators,11,11
21144,tipa,chick; woman; broad; female equivalent of tipo: broad (feminine singular),chick; woman; broad; female equivalent of tipo: broad (feminine singular),girl; woman,3,3
21203,voceros,spokesman (masculine plural),spokesman (masculine plural),spokespeople; spokespersons,11,11
21544,gestor,manager; overseer,manager; overseer,manager; administrator,11,11
21625,extremidad,end; extremity ),end; extremity ),extremity; limb,4,4
21626,gerentes,manager (plural),manager (plural),managers,11,11
21740,llamarían,they would summon,they would summon,they would call,2,2
21934,boxear,to box in a boxing match),to box in a boxing match),to box,4,4
22049,repetirá,he will repeat ); she will repeat ); it will repeat ),he will repeat ); she will repeat ); it will repeat ),he will repeat; she will repeat; it will repeat,4,4
22146,reos,defendant (masculine plural),defendant (masculine plural),defendants; convicts,11,11
22234,llámale,summon to him or her,summon to him or her,call him/her,2,2
22632,cargarlo,to load ) it (masculine),to load ) it (masculine),to load it (masculine); to carry it (masculine),4,4
22881,dueñas,female equivalent of dueño: owner (plural),female equivalent of dueño: owner (plural),owners (feminine plural),3,3
22927,llámalos,summon them (masculine),summon them (masculine),call them,2,2
23085,maquinista,engineer; train driver; engine driver,engineer; train driver; engine driver,machinist; train driver,11,11
23170,cargaba,I loaded ); he loaded ); she loaded ); it loaded ) (ongoing habitual/background past),I loaded ); he loaded ); she loaded ); it loaded ) (ongoing habitual/background past),I loaded; he loaded; she loaded; it loaded (ongoing habitual/background past),4,4
23443,defendida,defendant (feminine singular),defendant (feminine singular),defended (feminine singular),11,11
23495,gendarmes,policeperson (plural),gendarmes; police officers (plural),gendarmes; police officers,11,10|11
23537,repetiré,I will repeat ),I will repeat ),I will repeat,4,4
23652,mejicano,compare mexiquense),compare mexiquense),Mexican,3,3
23675,llámelo,he summons; she summons; it summons,he summons; she summons; it summons,call him/it (formal imperative/subjunctive),2,2
23980,llámanos,be called,be called,call us,4,4
24180,conjura,synonym of conjuración,synonym of conjuración,plot; conspiracy,3,3
24321,crucigramas,crossword (plural),crossword (plural),crosswords,10,10
24513,beses,around 219.3 grams) (plural),around 219.3 grams) (plural),you kiss; he kisses; she kisses; it kisses (present subjunctive),4,4
24877,contraseñas,password (plural),password (plural),passwords,10,10
25113,papaya,see image),see image),papaya,4,4
25252,mamas,mamma; breast (plural),mamma; breast (plural),moms; breasts,4,4
25290,cargamos,we loaded ),we loaded ),we load; we carry; we loaded; we carried,4,4
25526,catedráticos,professor (masculine plural),professor (masculine plural),professors; academics,11,11
25754,mejicanos,compare mexiquense) (masculine plural),compare mexiquense) (masculine plural),Mexican (masculine plural),3,3
26007,blanqueo,synonym of blanqueamiento,synonym of blanqueamiento,money laundering; whitening,2,2
26021,llamarles,to summon to them,to summon to them,to call them,2,2
26080,cargarse,to load ),to load ),to load up; to take on,4,4
26105,cargaron,they loaded ) (completed past),they loaded ) (completed past),they loaded; they carried (completed past),4,4
26145,amazona,horsewoman,horsewoman,Amazon; female warrior; female rider,10,10
26257,concejala,councilor; councilman; member of a council,councilor; councilman; member of a council,councilor,11,11
26530,tomábamos,we tooked (ongoing habitual/background past),we tooked (ongoing habitual/background past),we took (ongoing habitual/background past),2,2
26674,instructores,teacher (plural),teacher (plural),instructors; teachers,11,11
26893,incrustado,inlayed,inlayed,embedded; encrusted; inlaid,10,10
27460,llamase,I summoned,I summoned,I called,2,2
27508,caucásico,Caucasian ),Caucasian ),Caucasian,4,4
27526,tigresa,female equivalent of tigre: tigress,female equivalent of tigre: tigress,tigress,3,3
27912,roa,synonym of roda,synonym of roda,Roa,3,3
28198,burra,she-ass; jenny-ass; female equivalent of burro: jenny (feminine singular),she-ass; jenny-ass; female equivalent of burro: jenny (feminine singular),female donkey,3,3
28213,mesonero,hotel owner or manager,hotel owner or manager,waiter; innkeeper,11,11
28457,apodado,called someone names,called someone names,nicknamed,4,4
28509,poetisa,poetess; female poet; female equivalent of poeta,poetess; female poet; female equivalent of poeta,poet,3,3
28622,baleado,shooted,shooted,shot,2,2
29184,mejicana,compare mexiquense) (feminine singular),compare mexiquense) (feminine singular),Mexican (feminine singular),3,3
29279,videntes,seeing person (plural),seeing person (plural),seers; psychics (plural),10,10
29550,cargaré,I will load ),I will load ),I will load; I will carry,4,4
29619,repetí,I repeated ) (completed past),I repeated ) (completed past),I repeated (completed past),4,4
29747,santísimo,holy; godly,holy; godly,most holy,2,2
29871,tomabas,you tooked (ongoing habitual/background past),you tooked (ongoing habitual/background past),you took (ongoing habitual/background past),2,2
29939,sobrinas,female equivalent of sobrino: niece (plural),female equivalent of sobrino: niece (plural),nieces,3,3
29971,repetían,they repeated ) (ongoing habitual/background past),they repeated ) (ongoing habitual/background past),they repeated (ongoing habitual/background past),4,4
30159,neoyorquina,female equivalent of neoyorquino (feminine singular),female equivalent of neoyorquino (feminine singular),New Yorker (feminine singular),3,3
30368,convocaron,they called (completed past),they called (completed past),they summoned; they called together (completed past),4,4
30413,condicionados,synonym of acondicionado (masculine plural),synonym of acondicionado (masculine plural),conditioned (masculine plural),3,3
30499,perceptiva,perceptive (having perception (feminine singular),perceptive (having perception (feminine singular),perceptive (feminine singular),4,4
30555,ramones,breadnut,breadnut,Ramones,3,3
30945,empresaria,businessman (feminine singular),businessman (feminine singular),businesswoman; entrepreneur,11,11
31028,filipina,female equivalent of filipino (feminine singular),female equivalent of filipino (feminine singular),Filipina,3,3
31063,cargarla,to load ) it (feminine),to load ) it (feminine),to load it (feminine); to carry it (feminine),4,4
31334,demandada,defendant (feminine singular),defendant (feminine singular),defendant; sued (feminine singular),11,11
31611,profesoras,professor (plural),professor (plural),teachers; professors,11,11
31782,urraca,magpie (also called,magpie (also called,magpie,4,4
31827,cargarte,to load ) you,to load ) you,to load you; to carry you,4,4
32278,encierre,synonym of encierro,synonym of encierro,lock up (subjunctive/formal imperative),3,3
32341,repetirme,to repeat ) me,to repeat ) me,to repeat to me,4,4
32793,cargarme,to load ) me,to load ) me,to load me; to burden me,4,4
32807,gendarme,policeperson,policeperson,gendarme; police officer,11,11
33415,calatrava,female equivalent of calatravo (feminine singular),female equivalent of calatravo (feminine singular),Calatrava,3,3
33436,llamarlas,to summon them (feminine),to summon them (feminine),to call them (feminine),2,2
33972,cargaste,you loaded ) (completed past),you loaded ) (completed past),you loaded; you carried (completed past),4,4
33983,encarecimiento,increase in price or cost,increase in price or cost,rise in price; price increase,2,2
34073,aquilino,synonym of aguileño,synonym of aguileño,Aquilino,3,3
34106,miguelito,synonym of mí,synonym of mí,Miguelito,3,3
34163,pinchada,synonym of pinchazo,synonym of pinchazo,puncture; jab,3,3
