rank,lemma,original_sentence,final_sentence,original_english_sentence
19703,cinematografía,En el reino de españa el instituto de la cinematografía y las artes audiovisuales.,En el reino de españa el instituto de la cinematografía.,In the kingdom of Spain the institute of cinematography and audiovisual arts.
19704,clandestinos,En casinos clandestinos el tipo de sitios donde no se toman bien que no puedas pagar.,Casinos clandestinos el tipo de sitios.,In underground casinos the kind of places where they don't take well that you can't afford.
19720,disfrutamos,Australia expresa su aprecio por la estrecha y productiva relación de trabajo que disfrutamos con el sr.,Productiva relación de trabajo que disfrutamos con el sr.,Australia expresses its appreciation for the close and productive working relationship we enjoyed with Mr.
19730,hipócritas,Constato que el consejo y los estados miembros a este respecto son hipócritas.,Los estados miembros a este respecto son hipócritas.,I note that the Council and the Member States are hypocritical in this regard.
19731,legiones,Un alma no puede ser forzada a juntarse a las legiones del infierno.,Las legiones del infierno.,A soul cannot be forced to join the legions of hell.
19734,adultas,Adaptación de la eso para las personas adultas unidad con capacidad para puestos escolares.,Las personas adultas unidad con capacidad.,Adaptation of that for adults unit with capacity for school posts.
19768,marcaron,Lo cierto es que los estados miembros de la comunidad marcaron su acuerdo de principio.,La comunidad marcaron su acuerdo de principio.,The truth is that the member states of the community marked their agreement in principle.
19781,inherente,Sin embargo este tipo de compromiso es inherente al mecanismo de decisión en la comunidad.,Compromiso es inherente al mecanismo de decisión.,"However, this type of commitment is inherent in the decision-making mechanism in the community."
19796,fallamos,Fallamos en tener sangre con presión alta pero logramos más flujo de sangre.,Fallamos en tener sangre con presión alta.,"We failed to have blood with high blood pressure, but we got more blood flow."
19812,electrónicas,Ha llegado a mi conocimiento que las urnas electrónicas fueron alteradas por orden de ella.,Las urnas electrónicas fueron alteradas por orden.,It has come to my knowledge that the electronic ballot boxes were altered by order of her.
19885,constructiva,Todo ello precisa una colaboración constructiva ente el parlamento la comisión y el consejo.,Todo ello precisa una colaboración constructiva ente el parlamento la comisión.,All this requires constructive cooperation between Parliament and the committee and the council.
19902,mundialmente,La hija de un pintor mundialmente famoso viajando por el país en autobús.,Un pintor mundialmente famoso viajando.,The daughter of a world famous painter traveling the country by bus.
19905,uniendo,Oh construir un reactor de fusión en frío uniendo palitos y con ligas.,Oh construir un reactor de fusión en frío uniendo palitos.,Oh build a cold fusion reactor uniting sticks and leagues.
19932,entrenó,A continuación inició una aventura en arabia saudí en el al ahli al que entrenó durante un año.,Al que entrenó.,He then began an adventure in Saudi Arabia in the al ahli he trained for a year.
19955,aplicables,A normas aplicables a la congelación de activos financieros de las personas afectadas.,A normas aplicables a la congelación.,The rules applicable to the freezing of financial assets of the persons concerned.
19962,probarme,No tengo nada más que probarme a mí mismo o a mi familia.,No tengo nada más que probarme a mí mismo.,I have nothing more to prove to myself or to my family.
19977,desplazados,El aumento del número de desplazados internos en todo el mundo es un hecho lamentable.,El aumento del número de desplazados internos es un hecho lamentable.,The increase in the number of internally displaced persons worldwide is a regrettable development.
19989,conservo,Creo que es esto lo que yo conservo sobre las previsiones de la comisión.,Yo conservo sobre las previsiones.,I think this is what I keep on the committee's forecasts.
19999,petroleras,Petroleras globe no tiene cámara de seguridad en el área de la basura.,Petroleras globe no tiene cámara.,Globe oil tankers doesn't have a security camera in the garbage area.
20019,justifican,Altura máxima de la calle metros ampliable si se justifican adecuadamente los motivos y necesidades.,Se justifican adecuadamente los motivos.,Maximum height of the street meters expandable if the reasons and needs are properly justified.
20029,centrar,Voy a centrar mi atención ante todo en la situación en el líbano.,Voy a centrar mi atención ante todo.,I will focus my attention first and foremost on the situation in Lebanon.
20031,disparará,El casquillo irá hacia el costado y la granada disparará en un hermoso paraguas.,La granada disparará en un hermoso paraguas.,The shell will go to the side and the grenade will shoot in a beautiful umbrella.
20079,adelantos,El comité celebra los adelantos del estado parte para desarrollar el sistema de reunión de datos.,Celebra los adelantos del estado parte.,The committee welcomes the progress made by the State party in developing the data collection system.
20084,fortalece,Lo bueno de la silla de ruedas es que fortalece los miembros superiores.,Fortalece los miembros superiores.,The good thing about the wheelchair is that it strengthens the upper limbs.
20114,placentera,Lo que en realidad me gustaría hacer es disfrutar de una reunión placentera.,Una reunión placentera.,What I'd really like to do is enjoy a pleasant meeting.
20123,atacará,Tenemos información de que el grupo terrorista de damsari atacará en la ceremonia.,Damsari atacará en la ceremonia.,We have information that Damsari's terrorist group will attack at the ceremony.
20156,destacando,A nivel internacional han participado en torneos continentales destacando haber alcanzado los cuartos de final en de sus apariciones.,Torneos continentales destacando haber alcanzado los cuartos.,Internationally they have participated in continental tournaments highlighting having reached the quarterfinals in their appearances.
20163,dominaba,Al finalizar el siglo xviii fue terror de la sierra grande que dominaba.,Grande que dominaba.,At the end of the 19th century it was terror of the large mountain that dominated.
20166,manejamos,Manejamos km de noche porque dijo que nuestro hijo estaba aquí y luego nos muestra eso.,Manejamos km de noche.,We drove miles at night because he said our son was here and then he shows us that.
20174,contestan,Normalmente se contestan las preguntas complementarias precisamente en este momento se acaba de contestar una pregunta complementaria de la pregunta.,Normalmente se contestan las preguntas complementarias precisamente.,"The supplementary questions are usually answered precisely at this moment, a supplementary question to the question has just been answered."
20177,procederá,El presidente del consejo procederá a la notificación prevista en el artículo del acuerdo.,Consejo procederá a la notificación prevista.,The President of the Council shall give the notification provided for in the Article of the Agreement.
20186,disculpó,En alemania oficialmente se disculpó por la segunda guerra mundial y el holocausto.,En alemania oficialmente se disculpó por la segunda guerra mundial.,In Germany he officially apologized for the Second World War and the Holocaust.
20207,violetas,La forma en que lo recuerdo es imaginando a sal eros y violetas.,Eros y violetas.,The way I remember it is by imagining salt eros and violets.
20213,conservaba,A fines del siglo xix la villa conservaba parte de la muralla y las torres perimetrales.,A fines del siglo xix la villa conservaba parte de la muralla.,At the end of the 19th century the villa retained part of the wall and perimeter towers.
20236,formulado,De modo que voy a dar por sentado que se ha formulado la pregunta.,Se ha formulado la pregunta.,So I will take it for granted that the question has been asked.
20250,invicto,Recuerda marciano es el único campeón de los pesos pesados que se retiró invicto.,Se retiró invicto.,Remember Martian is the only heavyweight champion who retired undefeated.
20258,emitiendo,Se implanta bajo la piel del niño emitiendo una pequeña descarga eléctrica siempre que diga una palabra obscena.,Emitiendo una pequeña descarga eléctrica siempre.,It is implanted under the child's skin by emitting a small electrical shock whenever it says an obscene word.
20362,australiana,El de las colecciones corresponde a la flora australiana con las siguientes familias.,La flora australiana con las siguientes familias.,The one in the collections corresponds to the Australian flora with the following families.
20409,traiciones,Pero si alguna vez necesito consejos sobre traiciones te aseguro que te llamaré.,Traiciones te aseguro que te llamaré.,"But if I ever need advice on betrayals, I'm sure I'll call you."
20416,marroquíes,Los dirigentes marroquíes se oponen a un referéndum que incluya la opción de la independencia.,Los dirigentes marroquíes se oponen.,Moroccan leaders opposed a referendum that included the option of independence.
20446,basó,Por tanto su conclusión no se basó en elementos de prueba no comunicados.,No se basó en elementos.,"Therefore, its conclusion was not based on unsubstantiated evidence."
20465,mandíbulas,Es como se siente un hombre después de un golpe en las mandíbulas.,En las mandíbulas.,It's how a man feels after a blow to the jaws.
20467,monstruosa,Eres monstruosa a los ojos de dios por lo que le has hecho.,Eres monstruosa a los ojos de dios.,You're monstrous in God's eyes for what you've done to him.
20502,necesitada,Eres una chica solitaria y necesitada que trata de meterse en la vida de la gente.,Necesitada que trata de meterse en la vida de la gente.,"You're a lonely, needy girl who's trying to get into people's lives."
20510,asistirá,Debido a los horarios personales de lay no asistirá a los conciertos en japón.,Lay no asistirá a los conciertos.,Due to the personal schedules of lay you will not attend concerts in Japan.
20523,académicas,A coordinar y supervisar las funciones académicas en conjunto con las autoridades de las facultades.,Supervisar las funciones académicas en conjunto con las autoridades de las facultades.,To coordinate and supervise academic functions in conjunction with faculty authorities.
20560,practicaba,Sr rowe estaba usted al tanto de que su amante practicaba el modo de sadomasoquismo con cuerdas japonés llamado shibari.,Su amante practicaba el modo de sadomasoquismo.,Mr. Rowe was aware that his lover was practicing the Japanese stringed sadomasochism called shibari.
20570,inusuales,Tú y tu hermana comparten algunos rasgos de personalidad inusuales que podrían ser vistos como fuera de la norma social.,Personalidad inusuales que podrían ser vistos.,You and your sister share some unusual personality traits that could be viewed as outside the social norm.
20571,lio,Se lo ganaste haciendo trampas y te vas a meter en un lio.,Te vas a meter en un lio.,You earned it by cheating and you're going to get into trouble.
20578,argumenta,Se argumenta que hay una relación entre la criminalidad y el derecho a la fianza.,Se argumenta que hay una relación entre la criminalidad.,It is argued that there is a relationship between criminality and the right to bail.
20592,giraba,Tenía un espejo que giraba y su voz y sus ojos y yo.,Tenía un espejo que giraba.,He had a mirror that turned and his voice and his eyes and me.
20611,realizaciones,Luis blanes arques teoría y práctica de la armonía tonal parte realizaciones edición real musical.,Práctica de la armonía tonal parte realizaciones edición real musical.,Luis blanes arches theory and practice of tonal harmony part realizations real musical edition.
20639,diseñé,Lo que diseñé es una teoría sólo se puede hacer en el futuro.,Diseñé es una teoría sólo se.,What I designed is a theory that can only be done in the future.
20643,juventudes,Jovens nacionalistes d unió valenciana página oficial de las juventudes de unió valenciana.,Las juventudes de unió valenciana.,Young nationalists d united Valencian official page of the youths of Valencian union.
20648,rendimos,Rendimos obediencia a los dioses de tierra y mar acaso debemos llevar al chico también.,Rendimos obediencia a los dioses de tierra.,"We give obedience to the gods of land and sea, perhaps we should take the boy too."
20649,rojizo,Ha sido rechazado alguna vez por una mujer con el pelo rojizo hasta los hombros.,El pelo rojizo hasta los hombros.,He's once been rejected by a woman with red hair up to her shoulders.
20652,galáctica,Se van a dar cuenta de que la autoridad galáctica no es invencible.,La autoridad galáctica no es invencible.,They will realize that galactic authority is not invincible.
20658,repúblicas,La conferencia de washington de donde se crea la unión internacional de las repúblicas americanas.,Las repúblicas americanas.,The Washington conference where the international union of the American republics is created.
20685,orales,Eduardo menez filipinas introduce correcciones orales al proyecto de resolución a c l.,Correcciones orales al proyecto de resolución.,Mr. Eduardo Menez Filipinas orally corrected the draft resolution by c.
20690,sustanciales,La mayoría de estos reglamentos han sido objeto de modificaciones sustanciales en varias ocasiones.,Modificaciones sustanciales en varias ocasiones.,Most of these regulations have been substantially amended on several occasions.
20717,tóxicas,Mantener la calidad de las aguas evitando vertidos de sustancias tóxicas y materia orgánica.,Mantener la calidad de las aguas evitando vertidos de sustancias tóxicas.,Maintain water quality by avoiding discharges of toxic substances and organic matter.
20719,contundentes,Algunos las consideran demasiado contundentes pero creo que reflejan ese sentimiento de frustración.,Algunos las consideran demasiado contundentes.,"Some consider them too strong, but I think they reflect that feeling of frustration."
20743,despertamos,Es la primera vez que nos vamos a dormir juntos y nos despertamos juntos.,Nos despertamos juntos.,It's the first time we've slept together and woken up together.
20751,asombrosas,Me gustaría proponer un brindis por mi hijo y sus asombrosas proezas de juego.,Sus asombrosas proezas de juego.,I'd like to propose a toast to my son and his amazing feats of play.
20756,entendidos,Los desafíos transformadores no deben ser entendidos sólo como riesgos sino también como oportunidades.,Los desafíos transformadores no deben ser entendidos sólo como riesgos.,Transformative challenges should not only be understood as risks but also as opportunities.
20761,recorría,Ella recorría en aquel momento con la vista la platea de repente sus.,Ella recorría en aquel momento.,She walked around at that moment with the view suddenly chatters hers.
20767,autorizadas,B ayudas al transporte de personas autorizadas con arreglo al artículo apartado letra a del tratado.,Personas autorizadas con arreglo al artículo.,B aid for the transport of persons authorised under Article 1(a) of the Treaty.
20776,mixtas,Lo mismo ocurre con las ventas mixtas de bienes muebles e inmuebles al mismo tiempo.,Las ventas mixtas de bienes muebles.,The same applies to mixed sales of movable and immovable property at the same time.
20788,dichosa,Todo el mundo aspira a la vida dichosa pero nadie sabe en qué consiste.,Todo el mundo aspira a la vida dichosa.,Everyone aspires to happy life but no one knows what it consists of.
20834,obligará,Y no hay duda de que la presión de arriba los obligará a dejarlo.,Arriba los obligará a dejarlo.,And there's no doubt that the pressure above will force them to leave him.
20844,fortalezas,Todas las pilas de leña van actuar como fortalezas provistas de bombas de arena.,Actuar como fortalezas provistas de bombas.,All the piles of wood will act as fortresses provided with sand bombs.
20853,adjetivos,Por qué no voy a la página de chevrolet y copio los adjetivos.,Copio los adjetivos.,Why don't I go to the chevrolet page and copy the adjectives.
20866,asentado,Para quitarme el sabor de la batalla que se ha asentado en el estómago.,Se ha asentado en el estómago.,To take away the taste of the battle that has settled in my stomach.
20871,humanitario,Se caracterizan por violaciones masivas del derecho humanitario internacional y de los derechos humanos.,Se caracterizan por violaciones masivas del derecho humanitario internacional.,They are characterized by massive violations of international humanitarian law and human rights.
20875,novecientos,No puedo creer que pueda tener una habitación en manhattan por novecientos pavos al mes.,Manhattan por novecientos pavos al mes.,I can't believe I can have a room in manhattan for nine hundred bucks a month.
20881,analizamos,Así aparece si analizamos atentamente las políticas que lleva a cabo la comunidad.,Analizamos atentamente las políticas que lleva.,This is how it appears if we carefully analyze the policies carried out by the community.
20884,contempló,Y al concluir de leer la carta se incorporó antonio contempló al viejo que le miraba irónica y afectuosamente y.,Incorporó antonio contempló al viejo.,And at the end of reading the letter he incorporated antonio looked at the old man who looked at him ironically and affectionately and.
20889,lavó,Hoy la señora ashton es igual que poncio pilato que se lavó las manos.,Se lavó las manos.,Today Mrs Ashton is just like Pontius Pilate who washed his hands.
20901,ficticio,Queyta es un planeta ficticio del universo de la guerra de las galaxias.,Ficticio del universo de la guerra.,Queyta is a fictional planet of the galaxy war universe.
20914,besarse,C sólo verlos a ustedes dos besarse después de todo lo que pasó.,C sólo verlos a ustedes dos besarse.,C just see you two kiss after everything that happened.
20982,incrementó,Para se incrementó a enfermedades tomando en cuenta las particularidades de la región amazónica.,Para se incrementó a enfermedades tomando.,It increased to diseases taking into account the particularities of the Amazon region.
21021,dictaduras,Sin embargo para mi sorpresa descubrí que las dictaduras no caen tan fácilmente.,Para mi sorpresa descubrí que las dictaduras no caen tan fácilmente.,"To my surprise, however, I discovered that dictatorships do not fall so easily."
21051,establecía,Ese interés se establecía en puntos por encima de tipo de adjudicación del bce.,Se establecía en puntos por encima.,This interest was set at points above the bce award rate.
21057,ponerles,Menos mal que estoy yo aquí para ponerles los pies en el suelo.,Ponerles los pies en el suelo.,Good thing I'm here to put your feet on the ground.
21076,deseó,Hace más de años un gran ciudadano deseó que el cinco de noviembre quedara grabado en nuestra memoria.,Gran ciudadano deseó que el cinco.,"More than years ago, a great citizen wished that November 5 was recorded in our memory."
21119,medianos,Por último hay que considerar la cuestión de la deuda de los países de ingresos medianos.,De ingresos medianos.,"Finally, consideration should be given to the debt of middle-income countries."
21133,pronunciada,Alocución pronunciada por henning christophersen vicepresidente de la comisión de las comunidades europeas.,Alocución pronunciada por henning christophersen vicepresidente.,Address by henning christophersen Vice-President of the Commission of the European Communities.
21140,decenios,Tampoco las tendencias populares de los últimos decenios han demostrado ser mucho mejores.,Los últimos decenios han demostrado ser mucho mejores.,Nor have the popular trends of recent decades proved to be much better.
21170,respectivo,B proponer los ascensos y sanciones de dicho personal al ministerio u organismo respectivo.,Sanciones de dicho personal al ministerio u organismo respectivo.,B propose the promotions and sanctions of such personnel to the respective ministry or body.
21171,respetamos,Nos respetamos demasiado para ello y en igual medida respetamos a nuestros colegas.,Nos respetamos demasiado para ello.,We respect each other too much for this and we respect our colleagues to the same extent.
21174,desplegado,En la historia de la humanidad se han desplegado diversos tipos de armas de guerra.,Han desplegado diversos tipos de armas.,Various types of weapons of war have been deployed in the history of mankind.
21190,configuran,Las asociaciones se configuran con un de padres y otro de profesores de la comunidad.,Las asociaciones se configuran con un de padres.,Associations are set up with one parent and one teacher from the community.
21228,aplastó,Antes que kirill criara el dragón él aplastó la hermandad a cada uno de ellos.,Aplastó la hermandad a cada uno.,Before Kirill raised the dragon he crushed the brotherhood to each of them.
21229,apreciaba,Desde algún lugar de ahí todo fue trasmitido en cámara lenta porque así se apreciaba mejor.,Así se apreciaba mejor.,From somewhere there everything was transmitted in slow motion because that was the best way to appreciate it.
21271,até,Ese caso en el que te até no creo que vaya a ninguna parte.,Te até no creo que vaya.,"That case where I tied you up, I don't think I'm going anywhere."
21288,celebradas,En sus sesiones y celebradas el de noviembre del comité aprobó las siguientes observaciones finales.,Celebradas el de noviembre del comité aprobó las siguientes observaciones finales.,"At its meetings and held on November of the committee, it adopted the following concluding observations."
21304,escáneres,Hay de hecho toda una serie de preguntas relativas a los escáneres corporales.,Los escáneres corporales.,There are indeed a whole series of questions concerning body scanners.
21314,colocaba,El poste se colocaba en la jungla cerca de la guarida del jaguar viviente.,Se colocaba en la jungla cerca.,The post was placed in the jungle near the den of the living jaguar.
21331,violan,La dura realidad es que los derechos del niño se violan constantemente en todos los países.,Violan constantemente en todos los países.,The harsh reality is that the rights of the child are constantly violated in all countries.
21334,aprobará,El consejo de dirección aprobará el orden del día al comienzo de la reunión.,Dirección aprobará el orden del día.,The agenda shall be adopted by the Management Board at the beginning of the meeting.
21337,caseras,Es por eso que les mostramos fotos películas caseras grabaciones de su voz.,Películas caseras grabaciones de su voz.,That's why we showed you photos home movies recordings of your voice.
21349,completada,Punto completada por la decisión pesc del consejo do l de y bol punto.,Punto completada por la decisión pesc del consejo do l de.,Point completed by the decision of the Council of the European Union.
21350,declaraba,Dom crees que habría sido diferente para mí si me declaraba a los.,Me declaraba a los.,Dom you think it would have been different for me if I declared myself to them.
21360,corporativos,No sé nada de delitos corporativos y aunque no fuera así tampoco me importaría.,No sé nada de delitos corporativos y.,"I don't know anything about corporate crimes, and even if I didn't, I wouldn't mind either."
21436,luche,Es un insulto a todo aquel que luche por la libertad y la democracia.,Es un insulto a todo aquel que luche por la libertad.,It is an insult to anyone who fights for freedom and democracy.
21452,voluntades,En lugar de ello debería revelar sus debilidades y vulnerabilidades para ganarse voluntades en occidente.,Vulnerabilidades para ganarse voluntades en occidente.,"Instead, it should reveal its weaknesses and vulnerabilities in order to gain wills in the West."
21471,aludido,No por algo que se haya dicho o publicado o aludido o insinuado.,Publicado o aludido o insinuado.,Not for something that has been said or published or alluded to or hinted at.
21482,reaccionado,El mercado europeo de la información en línea ha reaccionado tarde al problema de la localización.,Línea ha reaccionado tarde al problema.,The European online information market has reacted late to the problem of localization.
21486,culminar,No obstante desde noviembre de no ha hecho nada para culminar la operación.,Desde noviembre de no ha hecho nada para culminar la operación.,"However, since November, he has done nothing to complete the operation."
21519,detenidas,B la liberación de la prisión de varias personas detenidas por actividades políticas.,Varias personas detenidas por actividades políticas.,B the release from prison of several persons detained for political activities.
21534,reprimido,Él siempre ha reprimido sus sentimientos para no llorar frente a los demás.,Siempre ha reprimido sus sentimientos.,He has always repressed his feelings so as not to cry in front of others.
21576,patrocinado,Deseo dar las gracias a los otros estados miembros que han patrocinado el proyecto de resolución.,Han patrocinado el proyecto de resolución.,I wish to thank the other member States that have sponsored the draft resolution.
21606,disputará,Daniel juncadella el español disputará su primera carrera en el dtm con mercedes tras haber participado en la fórmula euroseries.,El español disputará su primera carrera.,Daniel juncadella the Spanish will play his first race in the dtm with mercedes after having participated in the formula euroseries.
21615,céspedes,En marzo de carlos manuel de céspedes lo compró con todas sus dependencias y esclavos.,Céspedes lo compró.,In March carlos manuel of lawns bought it with all its dependencies and slaves.
21650,dominando,En el estaba dominando completamente y tenía la posibilidad de tirar al más grande.,En el estaba dominando.,In it he was completely dominating and had the chance to throw the biggest one away.
21674,libanés,No obstante el de agosto se reanudaron las violaciones israelíes del espacio aéreo libanés.,El de agosto se reanudaron las violaciones israelíes del espacio aéreo libanés.,"However, Israeli violations of Lebanese airspace resumed in August."
21687,verosímil,No ha analizado los problemas y carece por completo de un equilibrio verosímil.,Carece por completo de un equilibrio verosímil.,It has not analysed the problems and is completely lacking a credible balance.
21689,vietnamitas,Hoy en día más de vietnamitas viven y trabajan en la costa del golfo de texas.,En día más de vietnamitas viven.,Today more Vietnamese live and work on the coast of the Gulf of Texas.
21723,triunfó,Ese era el resumen de la final de la liga thailandesa donde nuestro invitado especial triunfó.,Invitado especial triunfó.,That was the summary of the Thai League final where our special guest triumphed.
21753,agradar,Esta clase de cosas podría de verdad agradar a la vista de un hombre.,Verdad agradar a la vista.,This kind of thing could really please a man's eyesight.
21757,chocan,En el metro de madrid chocan dos trenes con un saldo de heridos.,Madrid chocan dos trenes con un saldo.,Two trains hit the madrid subway with injuries.
21767,argumentando,Argumentando en contra de un pueblo de derecho a estar libre de la ropa.,Argumentando en contra de un pueblo.,Arguing against a people of right to be free from clothing.
21771,contrarias,Por lo tanto a la espera de órdenes contrarias debo seguir mis órdenes.,A la espera de órdenes contrarias debo seguir mis órdenes.,Therefore waiting for contrary orders I must follow my orders.
21781,veintiséis,Veintiséis mercenarios con suficiente poder de fuego para recuperar la playa de omaha.,Veintiséis mercenarios con suficiente poder.,Twenty-six mercenaries with enough firepower to recover the omaha beach.
21864,fulminante,No te lo digo pero sí te digo que tiene un cuerpo fulminante.,Sí te digo que tiene un cuerpo fulminante.,"I'm not telling you, but I'm telling you, he has a fulminant body."
21868,invaden,Los estados de la ue no se invaden los unos a los otros.,Invaden los unos a los otros.,The states of the Ue do not invade each other.
21881,eliminan,Por ejemplo en francia se estima que cada año se eliminan ilegalmente toneladas de residuos peligrosos.,Eliminan ilegalmente toneladas de residuos peligrosos.,"For example, in France it is estimated that every year tons of hazardous waste are illegally disposed of."
21916,mudos,A vosotros que tembláis y palidecéis ante este lance mudos testigos de este acto.,Palidecéis ante este lance mudos testigos de este acto.,To you who tremble and pale before this cast mute witnesses of this act.
21973,resistiendo,Estoy resistiendo el impulso de darle un golpe en la boca en este momento.,Estoy resistiendo el impulso.,I'm resisting the urge to hit him in the mouth right now.
22040,planteaba,Se señaló también que ese criterio planteaba la cuestión de la persona que debía determinar lo antedicho.,Ese criterio planteaba la cuestión.,It was also pointed out that such an approach raised the question of the person to determine the above.
22041,representará,En la población con años o más representará probablemente el de la población en edad activa y en el.,Más representará probablemente el de la población en edad activa.,In the population with years of age or older it will probably represent that of the working-age population and in the working-age population.
22043,unitaria,Cada uno de estos grupos de viviendas y deberán tener composición arquitectónica unitaria.,Deberán tener composición arquitectónica unitaria.,Each of these groups of dwellings and must have a unitary architectural composition.
22048,cubrimos,Nosotros cubrimos cerca de ton de esa cantidad así que hoy por hoy estamos realizando un aporte muy significante.,Nosotros cubrimos cerca de ton.,We cover about ton of that amount so today we are making a very significant contribution.
22057,repetirá,No yo no soy mejor que los demás sólo te digo que esto no se repetirá.,No se repetirá.,"No, I'm not better than everyone else. I'm just telling you this won't happen again."
22085,fotocopias,Tasa por el servicio de realización de fotocopias artículo de la ley de de diciembre.,Realización de fotocopias artículo de la ley.,Fee for photocopying service article of the law of December.
22098,desearías,Estoy seguro de que ha habido momentos en que desearías que no lo hubiese hecho.,Desearías que no lo hubiese hecho.,I'm sure there have been times when you wish I hadn't.
22102,hombría,Lo que pasa es que tú no tienes carácter ni hombría ni nada.,Carácter ni hombría ni nada.,What happens is that you have no character or manhood or anything.
22111,aliadas,Mientras que nuestra presa tiene a la oscuridad y a la noche como aliadas.,A la noche como aliadas.,While our prey has the darkness and the night as allies.
22115,colaboró,C en caso afirmativo si el agente fiscal colaboró en la contestación de los mismos.,Agente fiscal colaboró en la contestación.,"C if yes, if the tax officer assisted in the reply to them."
22117,disidente,El texto de una opinión separada disidente de los miembros del comité sres.,Opinión separada disidente.,The text of a separate dissenting opinion of the members of the committee.
22134,aptos,En el caso de máquinas o aparatos automáticos aptos para la realización de juegos de azar.,Aparatos automáticos aptos para la realización de juegos de azar.,In the case of machines or automatic devices suitable for the performance of games of chance.
22138,debilitar,Horas es lo que necesita el cuerpo para debilitar su adicción al alcohol.,Debilitar su adicción al alcohol.,Hours is what the body needs to weaken its alcohol addiction.
22139,demoró,La presentación de este informe se demoró con el fin de incorporar información actualizada.,Informe se demoró con el fin.,The submission of this report was delayed in order to incorporate updated information.
22175,liderado,Francisco pizarro explorador y conquistador español célebre por haber liderado la conquista del perú.,Conquistador español célebre por haber liderado la conquista del perú.,Francisco pizarro explorer and Spanish conqueror famous for having led the conquest of Peru.
22183,alejas,Así que por qué no me haces un favor y te alejas de mi vida.,Te alejas de mi vida.,So why don't you do me a favor and get out of my life.
22185,contradictoria,Por ello llegamos a la situación financiera caótica y contradictoria en la que nos encontramos.,Contradictoria en la que nos encontramos.,That is why we come to the chaotic and contradictory financial situation in which we find ourselves.
22191,incrementando,La participación de las pyme en los programas se ha ido incrementando progresivamente.,Ha ido incrementando progresivamente.,The participation of SMEs in the programmes has gradually increased.
22208,encargadas,Afectado encargadas de la gestión de las diferentes ramas de la seguridad social.,Afectado encargadas de la gestión.,Affected in charge of the management of the different branches of social security.
22230,acostumbran,Acostumbran a intercambiar compañero con las parejas vecinas como en los bailes de salón americanos.,Acostumbran a intercambiar compañero.,They get used to exchanging partners with neighboring couples like at American ballroom dances.
22244,plenos,Sin embargo sólo tendrán efectos plenos para el desarrollo comunitario en el nuevo ciclo de programas.,Efectos plenos para el desarrollo comunitario.,"However, they will only have a full impact on community development in the new programme cycle."
22273,bailó,Un negro dominó con una flor de acacia en el gorro bailó con psiquis.,El gorro bailó con psiquis.,A black man dominated with a flower of acacia in his cap danced with psyche.
22283,arriesgamos,Así que este año por qué no nos arriesgamos por algo que importe.,Nos arriesgamos por algo que importe.,So this year why don't we take a risk for something that matters.
22397,parlamentos,Varios parlamentos regionales y el congreso de los diputados de españa han apoyado y apoyan esta decisión.,Varios parlamentos regionales.,Several regional parliaments and the congress of the Spanish Members have supported and supported this decision.
22412,rupturas,O si tienes un mal servicio cartas al editor congresistas incluso de rupturas de parejas.,Rupturas de parejas.,Or if you have a bad service letters to the congressman editor even from couples breakups.
22438,narrar,Era un intento de narrar el inicio de la vida en la tierra.,Narrar el inicio de la vida.,It was an attempt to narrate the beginning of life on earth.
22441,proclamado,Siempre ha proclamado su inocencia y en fue declarado culpable de tan sólo un asesinato.,Siempre ha proclamado su inocencia.,He has always proclaimed his innocence and was found guilty of only one murder.
22443,respaldado,El gran debate sobre el futuro de europa debe estar respaldado por una financiación adecuada.,Estar respaldado por una financiación adecuada.,The major debate on the future of Europe must be supported by adequate funding.
22496,incorporando,Pide a la secretaría que siga preparando regularmente e incorporando en internet los siguientes documentos.,Incorporando en internet los siguientes documentos.,Requests the secretariat to continue to prepare regularly and to make available on the Internet the following documents.
22525,contextos,En la guía también se utiliza el término ley o régimen en varios otros contextos.,Régimen en varios otros contextos.,The guide also uses the term law or regime in several other contexts.
22536,señaladas,Resultados señaladas se registraron en finlandia en irlanda y en los países bajos.,Resultados señaladas se registraron en finlandia en irlanda.,These results were reported in Finland in Ireland and in the Netherlands.
22547,escépticos,A pesar de los muchos escépticos la convención resultó ser todo un éxito.,Los muchos escépticos la convención resultó.,"Despite the many skeptics, the convention proved to be a success."
22553,activando,Activando el dispositivo de encubrimiento se vuelve invisible a todos los radares y sonares actualmente existentes.,Activando el dispositivo de encubrimiento se vuelve invisible a todos los radares.,Activating the cover-up device becomes invisible to all existing radars and sonars.
22557,esquiva,Es la tercera vez por lo menos que la comisión esquiva la respuesta.,La comisión esquiva la respuesta.,It's the third time at least the commission dodges the answer.
22594,nombrada,La comisión de selección será designada y nombrada por el presidente del icip.,Nombrada por el presidente del icip.,The selection committee shall be appointed and appointed by the president of the Icip.
22615,manifestaba,Esto se manifestaba en viajes que jeff skilling hacía con grupos pequeños de amigos y clientes.,Esto se manifestaba en viajes.,This was manifested in trips that jeff skilling made with small groups of friends and clients.
22626,despega,El debate sobre el futuro de la cohesión despega en la conferencia de parís.,La cohesión despega en la conferencia.,The debate on the future of cohesion takes place at the Paris conference.
22628,disparaban,Qué diablos le ha pasado a la gente que se disparaban con armas.,Se disparaban con armas.,What the hell happened to people who shot themselves with guns?
22635,simulando,Está en el campo médico o obviamente simulando ser alguien que lo está.,Obviamente simulando ser alguien que lo está.,He's either in the medical field or obviously pretending to be someone who is.
