rank,sentence,english_sentence
19365,Por qué no me has dicho nada de lo de ibiza.,Why didn't you tell me anything about ibiza?
19366,Sólo quería hablar con él sobre la muerte prematura de su ex socio.,I just wanted to talk to him about his ex-partner's premature death.
19367,Cada noche quitaba sin decir nada.,Every night he took away without saying anything.
19368,Ella dijo que le rompería el corazón.,She said she'd break his heart.
19369,Cuál es el motivo de esta severidad.,What is the reason for this severity?
19370,Hay algo de simetría en eso no crees.,There's some symmetry in that you don't think.
19371,Eres la belleza la simplicidad la vida.,"You are beauty, simplicity of life."
19372,Se que es una ruina pero puedo volverlo a la vida otra vez.,"I know it's a wreck, but I can bring it back to life again."
19373,Tengo una afección en la sangre.,I have a condition in my blood.
19374,Pensé que talvez estaba mal del estómago así que tomé un te de ajos.,"I thought maybe I was upset about my stomach, so I took a garlic tea."
19375,Colección de palmas la mayoría de las cuales se presentan formando unas espectaculares avenidas.,Collection of palms most of which are presented forming spectacular avenues.
19376,Su hermano va a ir de chimpancé.,Your brother's gonna go chimpanzee.
19377,Dígale también que es muy útil saber que se comunican con lenguaje de señas.,Also tell him that it is very useful to know that they communicate with sign language.
19378,La noche no cubrirá más nuestros sueños.,The night will no longer cover our dreams.
19379,Supongo que el león tenía razón sobre el diluvio.,I guess the lion was right about the flood.
19380,No le dará la clínica a alguien que solo quiera especular.,He won't give the clinic to someone who just wants to speculate.
19381,No responde a la petición de identificarse.,It does not respond to the request for identification.
19382,De enero lisandro de la torre político argentino n.,January lisandro of the Argentine political tower n.
19383,Por las dos personas más magníficas que conozco.,For the two most magnificent people I know.
19384,Uno de tus despidos masivos.,One of your mass layoffs.
19385,Residuos de la extracción de minerales no metálicos.,wastes from the extraction of non-metallic minerals.
19386,El de septiembre de me reuní con el presidente de georgia sr.,The September I met with the president of georgia mr.
19387,Estamos en el mismo rubro de negocio.,We're in the same business category.
19388,Bueno esto sonará a locura.,"Well, this will sound crazy."
19389,No hay mejor manera de probar ésto que comparando historias de amor de tres períodos distintos de tiempo.,There's no better way to prove this than comparing love stories from three different periods of time.
19390,Lobo negro emerge de su encuentro con el hombre.,Black wolf emerges from his encounter with man.
19391,Es una faceta de nuestro trabajo que no podemos ignorar.,It is a facet of our work that we cannot ignore.
19392,Tal vez le gustan las gaviotas.,Maybe he likes seagulls.
19393,Si se produce fuera del municipio a partir de kms días naturales.,If it occurs outside the municipality from kms calendar days.
19394,Creo que la metralla voló su centro de energía.,I think the shrapnel blew up his power center.
19395,Creo que podría ser misionero clásico pero en una superficie dura.,I think I could be a classic missionary but on a hard surface.
19396,Alguna idea de que fue lo que lo motivó esta vez.,Some idea what motivated him this time.
19397,No se siente bien así que anda de puntillas.,"He doesn't feel well, so he's tiptoeing."
19398,Cuándo piensa la comisión resolver el expediente de seat.,When the commission intends to resolve the Seat file.
19399,Lo que vemos en el desarrollo biología sintética.,What we see in synthetic biology development.
19400,Estás tendida en la calle.,You're lying on the street.
19401,Resulta que fue a la escuela con uno de los niños de vásquez.,Turns out he went to school with one of the vásquez kids.
19402,Está en el coche en un ataúd de zinc.,He's in the car in a zinc coffin.
19403,Avenida de octubre y camino corrales.,October Avenue and corral road.
19404,Todos nos cuidaremos el uno al otro.,We'll all take care of each other.
19405,B horario correspondiente a los días de jornada intensiva.,B hours corresponding to intensive working days.
19406,El blog de iñaki ortega.,Iñaki ortega's blog.
19407,Vi a juanita el otro día hombre.,"I saw juanita the other day, man."
19408,La guerra aún no ha llegado a nebraska.,The war has not yet reached nebraska.
19409,Todos nuestros maestros obedecen las reglas señor.,"All our teachers obey the rules, sir."
19410,Creo que tienes un par de s de sobra pateando por allí.,I think you've got a couple of extra s kicking around.
19411,Lo hacen en aras de la pluralidad cultural.,They do so for the sake of cultural plurality.
19412,Le puede pegar a un repollo a km de distancia.,You can hit a cabbage a mile away.
19413,Creo que puede haber sido un aneurisma o algo así.,I think it might have been an aneurysm or something.
19414,Esta vez nos juntamos en una sala y comenzamos a tocar.,This time we got together in a room and started playing.
19415,Me lo juras por tus dos hijos.,You swear to me by your two sons.
19416,Fecha y lugar de nacimiento de marzo de manila.,Date and place of birth of Manila in March.
19417,No te vas a mojar cariño.,"You're not getting wet, honey."
19418,Es sólo por la gracia de dios que será salvada.,It is only by the grace of God that she will be saved.
19419,Ella solia pasar tiempo con nosotros en el estacionamiento.,She used to spend time with us in the parking lot.
19420,Así es como peleas con la espada yin yang.,That's how you fight with the yin yang sword.
19421,Estoy un par de días atrasada pero no es la gran cosa.,"I'm a couple of days behind schedule, but it's not the big deal."
19422,El es el número atómico del moscovio.,He's the atomic number of the muscow.
19423,El valor actual de las obligaciones por prestaciones definidas.,The current value of defined benefit obligations.
19424,Cree que el la única manera de detener los destellos.,He thinks he's the only way to stop the flashes.
19425,El chico acaba de dormirse.,The boy just fell asleep.
19426,Los demás circuitos impresos rígidos.,Other rigid printed circuits.
19427,Un poco irritable pero no lo son todos a los años.,"A little irritable, but they're not all irritable over the years."
19428,Creo que se ha hecho algo en el páncreas.,I think something's been done in the pancreas.
19429,Creo que estaba siendo sarcástico.,I think he was being sarcastic.
19430,En ese caso tal vez soy temerario.,In that case maybe I'm reckless.
19431,Crees que vas a volver a cambiarla.,You think you're gonna change it again.
19432,No dejes que te elijan a ti.,Don't let them pick you.
19433,Usted dice que sabe gestionar un mejor bar que yo.,You say you know how to run a better bar than I do.
19434,Para salvar a esos infieles luchas con tus propios hermanos.,To save those infidels you fight with your own brothers.
19435,Sin ofensas pero no lo conozco tan bien.,"No offense, but I don't know him that well."
19436,Me reconocieron una vez en la escuela por ser muy flexible.,They recognized me once at school for being very flexible.
19437,Tengo una suscripción de dos años en armas y munición.,I have a two-year subscription on guns and ammo.
19438,Deberán tenerse en cuenta las siguientes consideraciones en la preparación de una propuesta.,The following considerations should be taken into account in the preparation of a proposal.
19439,Es asesora de un despacho que nos hace diseños.,She's an advisor to an office that makes us designs.
19440,En todo caso con el cacho este eres el jefe de la unidad.,In any case with the poop this is the head of the unit.
19441,No vamos a tomar parte en este ridículo melodrama.,We're not taking part in this ridiculous melodrama.
19442,Bien molido hasta convertirlo en polvo.,Well ground to dust.
19443,Sé que ha expresado su deseo de recibirme.,I know you have expressed your desire to receive me.
19444,Gestión de visados y otra documentación requerida para los viajeros.,Visa management and other documentation required for travellers.
19445,De oro en los juegos centroamericanos y del caribe de ponce.,Gold in the Central American games and the caribbean ponce.
19446,Parece que es una pena para mí florecer en invierno.,Looks like it's a shame for me to bloom in winter.
19447,Me inclino a creer que sí.,I'm inclined to think so.
19448,En el alma de todo mercenario duerme un traidor.,A traitor sleeps in the soul of every mercenary.
19449,Te prometo que jamás lo olvidaremos.,I promise we'll never forget it.
19450,Qué vamos a hacer sin palomo.,What are we gonna do without a pigeon?
19451,Cómo le pediremos que se lo ponga.,How we'll ask him to put it on.
19452,Cuándo fue la última vez que la probaste en el campo de tiro.,When was the last time you tested it at the range?
19453,Es la hora de rubí.,It's ruby time.
19454,Está acechando a la vuelta de la esquina.,He's stalking around the corner.
19455,No es como si hubiera hecho un voto de castidad.,It's not like I made a vow of chastity.
19456,No soy capaz de controlarme.,I can't control myself.
19457,Ella puede parecer un poco disfrazada.,She may look a little disguised.
19458,El equipo al llegar al emplazamiento realizó las siguientes actividades.,The following activities were carried out by the team upon arrival at the site.
19459,No es posible que sepa cómo se entrena.,You can't possibly know how he trains.
19460,Así que cómo puedes saber si es erróneo su sufrimiento.,So how can you know if his suffering is wrong?
19461,No es muy hospitalario pero lo entiendo.,"It's not very hospitable, but I understand."
19462,Eso a lo que llamas trabajo es obsceno.,That what you call work is obscene.
19463,Cada pedacito de esto en serio.,Every bit of this really.
19464,Solo hace alarde y no puede contar con él.,He's just showing off and he can't count on him.
19465,Siempre te consideré uno de mis más valientes adversarios.,I've always considered you one of my bravest adversaries.
19466,Yo ni siquiera he leído un cómic.,I haven't even read a comic.
19467,De todas formas cómo se enterará.,"Anyway, how he'll find out."
19468,Quizás tenga que ver con la epilepsia.,Maybe it has to do with epilepsy.
19469,Ingresa a la academia mexicana de ciencia.,Join the Mexican Academy of Science.
19470,Este tipo es un pensador.,This guy's a thinker.
19471,Él no vino a la puerta provenía de la sala.,He didn't come to the door from the living room.
19472,Se remite a los párrafos a del informe inicial de la república de mauricio.,Reference is made to paragraphs (a) of the initial report of the Republic of Mauritius.
19473,Una lámpara de rayos ultravioleta.,Ultraviolet lamp.
19474,No son mujeres vulgares como las que tú encuentras.,They're not vulgar women like you find.
19475,Bueno es un poco brusca.,"Well, it's a little rough."
19476,Sólo quiero decirte que has estado mucho tiempo con eso bájalo.,I just want to tell you that you've been with it a long time. Put it down.
19477,Me dirás que una nueva conjunción ha salido a la luz.,You'll tell me that a new conjunction has come to light.
19478,Soy un hombre que quiere hacerte el amor dulcemente.,I'm a man who wants to make love to you sweetly.
19479,El anciano trató de envenenar la mente del rey.,The old man tried to poison the king's mind.
19480,El estancamiento no es una opción.,Stagnation is not an option.
19481,Fisiología del trabajo.,Work physiology.
19482,Formamos un buen equipo sabes.,"We make a good team, you know."
19483,Quieres saber cómo luce un fumador de marihuana.,You want to know what a marijuana smoker looks like.
19484,Nunca he visto una montura como la tuya.,I've never seen a saddle like yours.
19485,Mujer esto es una pepita de oro.,"Woman, this is a gold nugget."
19486,Vosotros dos poneos cerca de la cama.,You two get close to the bed.
19487,Sin duda estás repartiendo tu amor no es así querida.,Surely you're sharing your love is not so dear.
19488,Alguna indicación de que las carreteras se abrirán.,Some indication that the roads will open.
19489,Se adapta a su cara.,It fits your face.
19490,Creo que es cruzando la bahía en alameda.,I think it's across the bay in Alameda.
19491,Soy abogado de la compañía que le alquila la casa.,I'm a lawyer for the company that rents you the house.
19492,Tenemos que admitir que ha sido atrevida.,We have to admit she's been daring.
19493,Deberías escribir esas cosas en tu autobiografía.,You should write those things in your autobiography.
19494,Uno más polla en marcha y nos despedimos.,One more dick going and we said goodbye.
19495,Está bien que haya una prohibición del endeudamiento público de la ue.,It is good that there is a ban on public debt in the EU.
19496,El dinero permanecerá en un fideicomiso por un año.,The money will remain in a trust for a year.
19497,La seguridad ya no está garantizada.,Security is no longer guaranteed.
19498,Asistencia al gobierno de la república democrática popular lao.,Assistance to the government of the Lao People's Democratic Republic.
19499,Te acuerdas mamá que no había pisado la cocina.,You remember Mom didn't step on the kitchen.
19500,En los negocios siempre te preparas para lo peor.,In business you always prepare for the worst.
19501,Me dijo que ibas a retirarte.,He told me you were going to retire.
19502,Fracasados de tertulia eso es lo que sois.,Failure of a chat is what you are.
19503,Quieres vengarte de mí no es así.,"You want to get back at me, it's not like that."
19504,Es una mentira cómo te atreves a acusarme.,It's a lie how dare you accuse me.
19505,La comisión suele conformarse con el de la penalidad.,The commission is usually satisfied with that of the penalty.
19506,Además desarrollaron cursos de formación del profesorado iniciales o continuos que.,They also developed initial or continuing teacher training courses which.
19507,Se supone que se desvanece.,It's supposed to fade.
19508,Hombres influyentes en el mundo real.,Influential men in the real world.
19509,No voy a abrir la puerta manu.,I'm not opening the manu door.
19510,El equipo paralímpico panameño obtuvo las siguientes medallas.,The Panamanian paralympic team won the following medals.
19511,Presidente de la comisión episcopal de la pastoral misionera.,President of the Episcopal Commission for Missionary Pastoral Care.
19512,Dios mío he resucitado y aún estoy contigo.,"My God, I've risen and I'm still with you."
19513,Es solamente el señor schneider.,It's just Mr. Schneider.
19514,Conocí a un tipo que me dijo que lo vendería casi todo.,I met a guy who told me he'd sell most of it.
19515,Duarte brasil queda elegido presidente de la conferencia.,Duarte Brazil is elected president of the conference.
19516,Hay mas de embriones congelados siendo almacenados en este país.,There are more frozen embryos being stored in this country.
19517,Los archivos del agente goldman están en esa sala al final del pasillo.,Agent goldman's files are in that room at the end of the hall.
19518,Es que no has aprendido nada de tu imprudencia.,You just haven't learned anything from your recklessness.
19519,Bueno a veces es instantáneo.,"Well, sometimes it's instant."
19520,No debería involucrarme en esto.,I shouldn't get involved in this.
19521,Hay que luchar por romper moldes.,We have to fight to break molds.
19522,El resultado de todo esto fue un clima penetrante de miedo.,The result of all this was a penetrating climate of fear.
19523,Así que dejó el arbitraje.,So he quit arbitration.
19524,Me crees la voz de la fatalidad.,You believe me in the voice of fatality.
19525,Me alegro de que no haya incomodidad entre nosotros.,I'm glad there's no discomfort between us.
19526,Alicia y maribel no solo se conocen entre sí.,Alicia and Maribel don't just know each other.
19527,Hemos hallado una flor que serviría de suplemento nutricional.,We found a flower that would serve as a nutritional supplement.
19528,El médico dice que me recuperaré por completo.,The doctor says I'll be all right.
19529,A fortaleza un cuadro del pintor renacentista italiano botticelli.,A fort a painting by the Italian Renaissance painter botticelli.
19530,No hay necesidad de dar rienda suelta a tu ira de acuerdo.,There's no need to let go of your anger.
19531,No es que los aliens se vayan a escapar.,It's not like the aliens are getting away.
19532,No es una propuesta discutible.,It is not a debatable proposal.
19533,Mi abuelo luchó hydra vuelta en el día.,My grandfather fought hydra back in the day.
19534,Cuál es la herida narcisista original.,What is the original narcissistic wound?
19535,Tú también vivías en este edificio.,"You lived in this building, too."
19536,Las asambleas se hacen los jueves.,The assemblies are held on Thursdays.
19537,Así que si yo fuera tú empezaría a empacar.,"So if I were you, I'd start packing."
19538,Hubo dias en los que creí que me habia exigido demasiado.,There were days when I thought I had demanded too much.
19539,Una de las facetas es la del maestro.,One of the facets is that of the master.
19540,Monte situado en la provincia vasca de guipúzcoa en españa.,Monte located in the Basque province of Guipúzcoa in Spain.
19541,Qué otro cáncer imita a las hormonas de crecimiento.,What other cancer mimics growth hormones.
19542,Tengo que decirte que es algo imprevisto no crees.,"I have to tell you, it's unexpected. You don't think so."
19543,Ayuda a mamá a sacarse todo esto de encima.,Help Mom get all this off her back.
19544,No estamos para ser tratados como cadetes adolescentes.,We are not to be treated as teenage cadets.
19545,Cuándo vas a cerrar el circulo.,When you're going to close the circle.
19546,Al principio pensé que era el cansancio o la desnutrición.,At first I thought it was tiredness or malnutrition.
19547,A quién le gustan los gatos winston en diagonal.,Who likes winston cats diagonally.
19548,Lo que sea que haga falta encuéntralo.,Whatever it takes to find him.
19549,Yo soy un hombre no un mechero.,"I'm a man, not a lighter."
19550,Qué pasa con el mortero.,What about the mortar?
19551,Hemos estado pidiéndole consejo a ese tipo.,We've been asking that guy for advice.
19552,Tal vez una abuela a la que te gustaría tirarte.,Maybe a grandmother you'd like to bang.
19553,En base de un lo que acabas de hacer en los ultimos minutos.,Based on what you just did in the last few minutes.
19554,En s o paulo al menos bolivianos están en esta condición.,In s or paulo at least Bolivians are in this condition.
19555,Piensas que voy a pagar por una cajita.,You think I'm gonna pay for a little box.
19556,No se puede excavar una isla entera.,You can't dig an entire island.
19557,Contiene algunas disposiciones y obligaciones impuestas al sector bancario.,It contains some provisions and obligations imposed on the banking sector.
19558,Es el nombre del caballo evidentemente no del jockey.,"It's the horse's name, obviously not the jockey."
19559,Yo lancé el primer golpe.,I threw the first hit.
19560,Página oficial de la asamblea popular de los pueblos de oaxaca.,Official page of the popular assembly of the peoples of Oaxaca.
19561,Los estados unidos no se beneficia de tener un seguidor obediente.,The United States does not benefit from having an obedient follower.
19562,Para ello el gobierno del sudán adoptó las siguientes medidas.,"To this end, the Sudanese government took the following steps."
19563,De pescadores narrativa a propósito de la pesca artesanal.,From narrative fishermen about artisanal fishing.
19564,Se dirigieron hacia la selva.,They headed for the jungle.
19565,Cuál es el recuerdo más entrañable de su carrera.,What is the most endearing memory of your career.
19566,Ojalá tenga razón o estaré firmando mi sentencia de muerte.,I hope you're right or I'll be signing my death sentence.
19567,No es necesario una licenciatura en tonterías para saber qué sucede.,You don't need a bachelor's degree in nonsense to know what's going on.
19568,Al fin recuperé a mi hermana.,I finally got my sister back.
19569,De esta forma la comisión podría centrarse en sus actividades y funciones.,In this way the commission could focus on its activities and functions.
19570,Me dijeron que nuestros ancestros ganaron muchas competiciones en el pasado.,They told me our ancestors won a lot of competitions in the past.
19571,El nombre john daly puede referirse a las siguientes personas.,The name john daly can refer to the following people.
19572,Supongo que está forzando una alianza con el garuda.,I guess he's forcing an alliance with the garuda.
19573,Supongo que no podes preguntarle amablemente cual es el nombre.,I guess you can't ask him nicely what the name is.
19574,Quizá tuvo un accidente o la asaltaron.,Maybe she had an accident or she got mugged.
19575,Por otra parte en todos los países cultos las leyes de la guerra.,"On the other hand, in all countries, the laws of war have been adopted."
19576,Has oído hablar de algo llamado enfocar.,You've heard of something called focusing.
19577,La información que se está extendiendo como el fuego.,The information that is spreading like fire.
19578,No era la misma mujer que salvaste del hundimiento.,She wasn't the same woman you saved from sinking.
19579,No es hermoso cuando está irritado.,It's not beautiful when he's irritated.
19580,Desde entonces la economía ha pasado por una reactivación notable.,"Since then, the economy has undergone a remarkable revival."
19581,La pena de muerte es un signo peculiar de la barbarie.,The death penalty is a peculiar sign of barbarism.
19582,Te están llevando al bunker.,They're taking you to the bunker.
19583,Por favor el aplauso para estos chicos estupendos.,Please give it up for these great guys.
19584,El baile de luis alonso música giménez.,The dance of luis alonso giménez music.
19585,Se califica de viario frente a la calle de maragall.,It is described as roadside in front of the street de maragall.
19586,No si voy a ser el prior.,Not if I'm going to be the prior.
19587,Ha vuelto a ver a renata.,He's seen renata again.
19588,Entonces tenemos que determinar si estamos desperdiciando nuestro tiempo con richardson.,So we have to determine if we're wasting our time with richardson.
19589,Era una secuela de la virgen de años.,It was a sequel to the virgin of years.
19590,Yo no maté a wellington.,I didn't kill Wellington.
19591,Conjunto de asignaturas que hay que tener aprobadas.,Set of subjects to be approved.
19592,Muéstrame lo que hay debajo de ese caparazón.,Show me what's under that shell.
19593,He sido llamado a comparecer ante la junta.,I've been called to appear before the board.
19594,Obtener el permiso enunciado en el punto anterior.,Obtain the permission set out in the previous point.
19595,Bella se va a llevar una buena sorpresa eh gastón.,"Bella's gonna take a good surprise, huh?"
19596,Me casé con una mujer guapísima rica por familia.,I married a beautiful rich woman for a family.
19597,No sabía que los hindúes decían amén.,I didn't know the Hindus said amen.
19598,En la siguiente sección trataremos estos aspectos ideológicos.,In the next section we will deal with these ideological aspects.
19599,En la pared la tarjeta del mesero está allí.,On the wall the waiter's card is there.
19600,Tengo los resultados del contenido de las fosas nasales de la víctima.,I have the results of the contents of the victim's nostrils.
19601,Sus hábitats naturales son las selvas húmedas tropicales.,Its natural habitats are tropical rainforests.
19602,Es lo mismo que mató al suboficial.,It's the same thing that killed the NCO.
19603,También estás en la zona de individualidad.,You're also in the area of individuality.
19604,Te odié durante tantos años.,I hated you for so many years.
19605,Al parecer en algunas reuniones de la junta han tenido polémicas.,It seems that at some meetings of the board they have had polemics.
19606,El artículo queda redactado de la siguiente manera.,The article is worded as follows.
19607,Conocimiento y aplicación de la terminología y procedimientos.,Knowledge and application of terminology and procedures.
19608,Lo que ocurre cada órbitas.,What happens every orbit.
19609,Los otros actuaron bajo su propia responsabilidad.,The others acted under their own responsibility.
19610,Es el astro que tenemos aquí en la tienda.,It's the star we have here at the store.
19611,Le corresponde al consejo de seguridad adoptar medidas inmediatas para poner fin a esta situación lamentable.,It is up to the Security Council to take immediate steps to put an end to this unfortunate situation.
19612,Lo único que come son lentejas en lata.,All he eats is canned lentils.
19613,Las calles se llenaron de sangre y casquillos.,The streets were filled with blood and casings.
19614,Te estás mezclando en una vida de personas y sentimientos reales.,You're getting mixed up in a life of real people and real feelings.
19615,Yo no lo necesité tampoco.,I didn't need it either.
19616,Estaba soñando con ollas volando en la cocina.,I was dreaming of pots flying in the kitchen.
19617,Vayamos a encontrar una aguja en el pajar.,Let's go find a needle in the haystack.
19618,Recomendaciones sometidas a la consideración de la comunidad internacional.,Recommendations for consideration by the international community.
19619,La presente comunicación de la comisión se titula establecimiento de un marco de actuación.,This communication from the Commission is entitled to establish a framework for action.
19620,Los costes generales de mantenimiento pueden ser inferiores en un a un vehículo con motor térmico.,General maintenance costs may be lower in a vehicle with a thermal engine.
19621,Fue solo una vibra que ella me tiraba.,It was just a vibe she was throwing at me.
19622,Por cierto esto de que barco es del doce apóstoles.,"By the way, this ship belongs to the twelve apostles."
19623,La última vez su presupuesto para compras superaba al nuestro en ceros.,Last time his purchase budget exceeded ours in zeros.
19624,Cuándo has visto a niños contratar a criadas.,When you've seen kids hire maids.
19625,A los ecologistas no les va a gustar.,Environmentalists won't like it.
19626,No seríamos culpables de ser anti feministas.,We wouldn't be guilty of being anti-feminist.
19627,Es muy divertido pero tengo que atender ciertas formalidades.,"It's a lot of fun, but I have to attend to certain formalities."
19628,Running free live on top of the pops.,Running free live on top of the pops.
19629,La seguridad que rodea al rey es impenetrable.,The security surrounding the king is impenetrable.
19630,En realidad yo soy de melbourne.,I'm actually from melbourne.
19631,Me tengo que ir a tejer.,I have to go knit.
19632,El no te quiere en watts igual que yo.,He doesn't want you on watts like I do.
19633,La semana siguiente la gente lo verá para ver si acertó en sus predicciones.,The following week people will see him to see if he was right in his predictions.
19634,Estás seguro de que la aseguradora no nos pagará.,You're sure the insurance company won't pay us.
19635,Es por eso que necesito el cetro.,That's why I need the scepter.
19636,Se lo prometí a mi hijo y lo cumpliré.,I promised my son and I'll keep it.
19637,Todos los jueces son designados para un período de cinco años.,All judges are appointed for a period of five years.
19638,Es la única forma de destruirla.,It's the only way to destroy it.
19639,No me vas a estrechar la mano.,You're not gonna shake my hand.
19640,Por favor háblale a la gente.,Please talk to people.
19641,Dice que inca le ha rechazado.,He says Inca turned him down.
19642,La fama a veces me perjudica.,Fame sometimes hurts me.
19643,Acabo de verla otra vez es una preciosidad.,I just saw her again. It's beautiful.
19644,Resumiendo creo que se trata de un chantaje en toda regla.,"In short, I think it's a full-blown blackmail."
19645,Cómo sabes que no le agradan.,How do you know he doesn't like them?
19646,En la unión europea podemos equilibrar el mercado único con la justicia social.,In European union we can balance the single market with social justice.
19647,Esta cicatriz me evitará cometer el mismo error.,This scar will prevent me from making the same mistake.
19648,Eres una chica dulce muy maja.,You're a very nice sweet girl.
19649,A que te pongan un poco más de sensualidad.,To get you a little more sensuality.
19650,La situación de la asistencia humanitaria reclama un esfuerzo más sistemático de los donantes.,The humanitarian situation calls for a more systematic effort by donors.
19651,Se supone que eso me tranquiliza.,That's supposed to calm me down.
19652,Me alegró mucho saber que usted se salvó.,I was very glad to know that you were saved.
19653,Antoni peña picó de agosto de atleta fondista español.,Antoni peña picó from August as a Spanish fondista athlete.
19654,Ha sido internacional con la selección boliviana en ocasiones sin anotar goles.,He has been international with the Bolivian team sometimes without scoring goals.
19655,Ya se lo dije a los carabineros.,I already told the police.
19656,Sólo voy a ir a chequear.,I'm just gonna go check it out.
19657,Ya que ies sobra una cama podría quedarme aquí.,"Since you're left with a bed, I could stay here."
19658,Acaban de llamarnos de la policía de austin.,They just called us from the austin police.
19659,Te acabo de ver rechazando a una prostituta.,I just saw you turning down a prostitute.
19660,Justo antes de fallecer susurró un nombre.,"Just before she died, she whispered a name."
19661,Los abortos realizados en condiciones inseguras son una práctica habitual y muy preocupante.,Abortions performed in unsafe conditions are a common practice and a matter of great concern.
19662,Creo que voy a acompañarla a su casa.,I think I'm gonna walk her home.
19663,Vamos a ver en los bastidores.,Let's see on the racks.
19664,La reunión de los presidentes debería celebrarse durante el período habitual de cinco días.,The meeting of chairpersons should be held during the usual five-day period.
19665,No vas a convencerle de una manera u otra.,You're not gonna convince him one way or another.
19666,No estoy hablando en voz alta sólo estoy diciéndote la idea.,I'm not talking out loud. I'm just telling you the idea.
19667,El lugar donde escondo mi dinero es en mi cabeza.,The place where I hide my money is in my head.
19668,Es una especie de intimidar por ellos.,It's kind of intimidated by them.
19669,Ya no está con narciso si es lo que quieres saber.,He's no longer with daffodils if that's what you want to know.
19670,Los nuevos estatutos se publican en el anexo del presente decreto.,The new statutes are published in the annex to this decree.
19671,Voy a hacer una toma de la casa rodante.,I'm gonna take a shot of the motorhome.
19672,Que tú y jake se están separando.,That you and Jake are splitting up.
19673,Hay demasiada heroína y éter para que nadie sepa nada.,There's too much heroin and ether for anyone to know.
19674,Es lo que vale bankia según su capitalización bursátil de ayer.,That's what bankia is worth according to its stock market capitalization of yesterday.
19675,Debemos comer las ciruelas que crecen en el cementerio.,We must eat the plums that grow in the cemetery.
19676,Varias lanchas colectivas y ferrys también para ciclistas.,Several collective boats and ferries also for cyclists.
19677,Incluso cuando era pequeño siempre se defendía.,"Even when he was little, he always defended himself."
19678,Ufreconocimiento diplomático mino se siga empleando en el marco de.,It continues to be used within the framework of the Ministry of Foreign Affairs.
19679,Voy a tener que hacer un exorcismo o algo así.,I'm gonna have to do an exorcism or something.
19680,Lo prometo fielmente pase lo que pase.,I promise faithfully no matter what.
19681,Tú y tu abogado no hablarán hasta tu presentación en la corte.,You and your lawyer won't talk until your court appearance.
19682,E incluso ahora aún aún estoy incompleto.,And even now I'm still incomplete.
19683,A qué diablos viene el presidente de consolidated motors.,What the hell is the president of consolidated engines coming to?
19684,En vez de a tu asistente mátala a ella.,"Instead of your assistant, kill her."
19685,Lo que hicimos fue introducir unos platillos.,What we did was introduce some dishes.
19686,Ámbito de aplicación de las reclamaciones.,Scope of the claims.
19687,Considerando que el proyecto de presupuesto ha sido remitido al comité de cooperación.,Whereas the draft budget has been forwarded to the Cooperation Committee.
19688,El de enero los países del sí se reunirán en madrid.,On January the countries of yes will meet in Madrid.
19689,El sistema detectó sonidos en la oficina.,The system detected sounds in the office.
19690,Nuestra posición es enviarla lejos y deshacernos de ella.,Our position is to send her away and get rid of her.
19691,Por qué crees que duermo en una hamaca.,Why do you think I sleep in a hammock?
19692,Es un riesgo estar aquí fuera de horas hábiles.,It's a risk being here out of working hours.
19693,Los prados de león.,The lion meadows.
19694,Te vas a poner a predicar.,You're going to preach.
19695,Resulta que no soy tan bueno corriendo rally.,Turns out I'm not that good at running rally.
19696,En nuestro hogar siempre brillaba el sol.,In our home the sun was always shining.
19697,No sé qué comerás tú.,I don't know what you'll eat.
19698,Consecuentemente dándonos una causa probable para entrar a la premisa.,Consequently giving us a probable cause to enter the premise.
19699,Una de las amas de casa desesperadas.,One of the desperate housewives.
19700,El proyecto de decisión no entraña consecuencias para el presupuesto por programas.,The draft decision contained no programme budget implications.
19701,Creo que ella quería un matiz nuevo.,I think she wanted a new nuance.
19702,No tengo que rendirte cuentas.,I don't have to hold you accountable.
19703,Resaltó la virtudes del plan ese tipo de cosa.,The virtues of the plan stood out that kind of thing.
19704,Es tan rica y sabrosa como luce.,It's as rich and tasty as it looks.
19705,Es un costumbre de los amantes morir juntos cuando ya no soportan vivir.,It's a habit for lovers to die together when they can't stand living anymore.
19706,Fotos de sus fans subidas en línea.,Photos of his fans uploaded online.
19707,Mil millones de voltios y más caliente que el sol.,One billion volts and hotter than the sun.
19708,La gente blanca se sentía segura entonces capote los asustó.,White people felt safe then capote frightened them.
19709,La independencia a los países y pueblos coloniales.,Independence to Colonial Countries and Peoples.
19710,Dos camisas de algodón por temporada invernal estival.,Two cotton shirts per summer winter season.
19711,Ya firmada la constitución podré vender los derechos petroleros.,Already signed the constitution I can sell the oil rights.
19712,Su reputación lo precede.,His reputation precedes him.
19713,Qué es esta conspiración de la que me preguntaban.,What is this conspiracy you were asking me about?
19714,Ahora en serio no estás respetando el juego.,Now you're seriously not respecting the game.
19715,De dónde saca usté esa palabra que no he dictado.,Where do you get that word I haven't uttered?
19716,A todos los que vivirán.,To all who will live.
19717,Me gustaría hablar con usted de una de sus alumnas.,I'd like to talk to you about one of your students.
19718,A que no sean crudos ni blanqueados.,So they're not raw or bleached.
19719,Desde que no tengo hemorragias.,Since I haven't had any bleeding.
19720,Cómo voy a escribir una ópera con tantas interrupciones.,How am I going to write an opera with so many interruptions.
19721,Le daré todas las tarjetas de san valentín que he estado juntando.,I'll give you all the valentine cards I've been putting together.
19722,Por eso creo que deberíamos largarnos de aquí.,That's why I think we should get the hell out of here.
