lemma,count,lemma_original,lemma_normalized,lemma_lemmatized,lemma_translated,translated_flag,translation_source
hinchados,814,hinchados,hinchados,hijo,child / son of a bitch / daughter,TRUE,dict
impulsada,814,impulsada,impulsada,imprimir,print,TRUE,dict
lauro,814,lauro,lauro,lateralmente,[UNTRANSLATED] lateralmente,FALSE,untranslated
nerón,814,nerón,nerón,negro,black,TRUE,dict
observados,814,observados,observados,obligar,bind / force / compel,TRUE,dict
olp,814,olp,olp,ok,[UNTRANSLATED] ok,FALSE,untranslated
portuaria,814,portuaria,portuaria,poro,pore,TRUE,dict
presentadora,814,presentadora,presentadora,preparar,prepare / prime,TRUE,dict
pómulos,814,pómulos,pómulos,pájaro,bird,TRUE,dict
really,814,really,really,reaccionar,react,TRUE,dict
recordáis,814,recordáis,recordáis,reconocer,acknowledge / recognise,TRUE,dict
reprimido,814,reprimido,reprimido,report,[UNTRANSLATED] report,FALSE,untranslated
ruidosos,814,ruidosos,ruidosos,rozar,brush,TRUE,dict
secador,814,secador,secador,sazonar,flavour,TRUE,dict
sombrilla,814,sombrilla,sombrilla,solitario,lonely / solitary / lone,TRUE,dict
adivinas,813,adivinas,adivinas,adivinanza,riddle,TRUE,dict
cajera,813,cajera,cajera,caer,warm / collapse / drop,TRUE,dict
cajeros,813,cajeros,cajeros,caimán,alligator,TRUE,dict
carecer,813,carecer,carecer,cardiovascular,cardiovascular,TRUE,dict
curly,813,curly,curly,curar,cure,TRUE,dict
desvía,813,desvía,desvía,desvelo,[UNTRANSLATED] desvelo,FALSE,untranslated
enemistad,813,enemistad,enemistad,endeudamiento,indebtedness,TRUE,dict
estallado,813,estallado,estallado,estadunidenses,[UNTRANSLATED] estadunidenses,FALSE,untranslated
ignición,813,ignición,ignición,idilio,idyll / romance,TRUE,dict
probaremos,813,probaremos,probaremos,prioritario,[UNTRANSLATED] prioritario,FALSE,untranslated
rogamos,813,rogamos,rogamos,rock,rock,TRUE,dict
serif,813,serif,serif,separar,part / separate,TRUE,dict
sinagoga,813,sinagoga,sinagoga,simbad,[UNTRANSLATED] simbad,FALSE,untranslated
adelgazar,812,adelgazar,adelgazar,adele,[UNTRANSLATED] adele,FALSE,untranslated
alijo,812,alijo,alijo,aliento,breath,TRUE,dict
aspen,812,aspen,aspen,asomo,[UNTRANSLATED] asomo,FALSE,untranslated
corneta,812,corneta,corneta,corey,[UNTRANSLATED] corey,FALSE,untranslated
gestor,812,gestor,gestor,germaine,[UNTRANSLATED] germaine,FALSE,untranslated
huesca,812,huesca,huesca,haber,to have (aux.)/there is,TRUE,override
kelvin,812,kelvin,kelvin,kathy,[UNTRANSLATED] kathy,FALSE,untranslated
leopold,812,leopold,leopold,len,[UNTRANSLATED] len,FALSE,untranslated
micky,812,micky,micky,mezclar,mix / scramble,TRUE,dict
parpadeo,812,parpadeo,parpadeo,pared,wall,TRUE,dict
patrullero,812,patrullero,patrullero,patear,[UNTRANSLATED] patear,FALSE,untranslated
perdían,812,perdían,perdían,perdi,[UNTRANSLATED] perdi,FALSE,untranslated
pit,812,pit,pit,pipa,pipe,TRUE,dict
vehemencia,812,vehemencia,vehemencia,variedad,array / variety,TRUE,dict
anoté,811,anoté,anoté,anotar,note / annotate,TRUE,dict
aumentaba,811,aumentaba,aumentaba,aula,classroom,TRUE,dict
boicot,811,boicot,boicot,bogart,[UNTRANSLATED] bogart,FALSE,untranslated
concordancia,811,concordancia,concordancia,concluir,conclude,TRUE,dict
conserve,811,conserve,conserve,conservador,conservative,TRUE,dict
curvatura,811,curvatura,curvatura,currículum,curriculum,TRUE,dict
extrañó,811,extrañó,extrañó,extraer,extract,TRUE,dict
frenético,811,frenético,frenético,fredrik,[UNTRANSLATED] fredrik,FALSE,untranslated
indicados,811,indicados,indicados,independentista,[UNTRANSLATED] independentista,FALSE,untranslated
insuperable,811,insuperable,insuperable,instrumento,instrument,TRUE,dict
liviana,811,liviana,liviana,lisiado,[UNTRANSLATED] lisiado,FALSE,untranslated
sometimiento,811,sometimiento,sometimiento,soltar,drop / release,TRUE,dict
sonoros,811,sonoros,sonoros,somalia,somalia,TRUE,dict
trescientas,811,trescientas,trescientas,tratar,deal / treat,TRUE,dict
valdano,811,valdano,valdano,utilizar,use / utilise,TRUE,dict
visitamos,811,visitamos,visitamos,violar,rape / violate,TRUE,dict
yorkshire,811,yorkshire,yorkshire,ya,already,TRUE,override
adoptando,810,adoptando,adoptando,adoptado,[UNTRANSLATED] adoptado,FALSE,untranslated
basil,810,basil,basil,basar,base,TRUE,dict
curarme,810,curarme,curarme,cura,cure / priest,TRUE,dict
dalia,810,dalia,dalia,daga,dagger,TRUE,dict
damian,810,damian,damian,daley,[UNTRANSLATED] daley,FALSE,untranslated
despida,810,despida,despida,despertar,arouse / awaken / awake,TRUE,dict
ecologista,810,ecologista,ecologista,echar,dodge / miss / throw,TRUE,dict
envejece,810,envejece,envejece,entusiasmar,excite,TRUE,dict
estadísticos,810,estadísticos,estadísticos,estacionar,[UNTRANSLATED] estacionar,FALSE,untranslated
ever,810,ever,ever,evaporar,evaporate,TRUE,dict
hawks,810,hawks,hawks,hasan,[UNTRANSLATED] hasan,FALSE,untranslated
impresionados,810,impresionados,impresionados,imposible,impossible,TRUE,dict
incide,810,incide,incide,incandescente,[UNTRANSLATED] incandescente,FALSE,untranslated
patrocinado,810,patrocinado,patrocinado,patear,[UNTRANSLATED] patear,FALSE,untranslated
piadosa,810,piadosa,piadosa,peters,[UNTRANSLATED] peters,FALSE,untranslated
planeación,810,planeación,planeación,pitillo,cigarette,TRUE,dict
posicion,810,posicion,posicion,portland,[UNTRANSLATED] portland,FALSE,untranslated
practicas,810,practicas,practicas,postulado,postulate,TRUE,dict
putada,810,putada,putada,punta,tip / spearhead,TRUE,dict
segregación,810,segregación,segregación,secuaz,[UNTRANSLATED] secuaz,FALSE,untranslated
sueltan,810,sueltan,sueltan,sucesivamente,successively,TRUE,dict
suplicó,810,suplicó,suplicó,superar,exceed / surpass / trump,TRUE,dict
trinity,810,trinity,trinity,traer,bring,TRUE,dict
violaste,810,violaste,violaste,vijay,[UNTRANSLATED] vijay,FALSE,untranslated
wen,810,wen,wen,wagner,[UNTRANSLATED] wagner,FALSE,untranslated
barracas,809,barracas,barracas,barón,baron,TRUE,dict
constituirse,809,constituirse,constituirse,consternación,consternation,TRUE,dict
deforme,809,deforme,deforme,definir,define,TRUE,dict
encendí,809,encendí,encendí,encarnado,[UNTRANSLATED] encarnado,FALSE,untranslated
engels,809,engels,engels,engañar,cheat / deceive / dupe,TRUE,dict
estériles,809,estériles,estériles,estar,to be (state/location),TRUE,override
improvisada,809,improvisada,improvisada,impresionista,impressionist,TRUE,dict
indescriptible,809,indescriptible,indescriptible,indecente,indecent,TRUE,dict
netamente,809,netamente,netamente,negrura,blackness,TRUE,dict
pican,809,pican,pican,petroquímico,petrochemical,TRUE,dict
punción,809,punción,punción,puerco,pig,TRUE,dict
quemador,809,quemador,quemador,quedar,look / be / remain,TRUE,dict
reemplaza,809,reemplaza,reemplaza,rezar,pray,TRUE,dict
roxanne,809,roxanne,roxanne,rosario,rosary,TRUE,dict
sharma,809,sharma,sharma,señal,sign / mark / signal,TRUE,dict
tiendo,809,tiendo,tiendo,the,[UNTRANSLATED] the,FALSE,untranslated
valenzuela,809,valenzuela,valenzuela,vaca,cow,TRUE,dict
vicisitudes,809,vicisitudes,vicisitudes,veta,vein,TRUE,dict
amanezca,808,amanezca,amanezca,amanecer,dawn,TRUE,dict
aranceles,808,aranceles,aranceles,aragón,aragon,TRUE,dict
brenner,808,brenner,brenner,bree,[UNTRANSLATED] bree,FALSE,untranslated
chicha,808,chicha,chicha,chevrolet,[UNTRANSLATED] chevrolet,FALSE,untranslated
coincidía,808,coincidía,coincidía,coincidir,coincide,TRUE,dict
contraído,808,contraído,contraído,contratar,hire,TRUE,dict
daddy,808,daddy,daddy,d,[UNTRANSLATED] d,FALSE,untranslated
helene,808,helene,helene,hedor,stink,TRUE,dict
ini,808,ini,ini,ingresar,[UNTRANSLATED] ingresar,FALSE,untranslated
jumbo,808,jumbo,jumbo,jugar,play,TRUE,dict
palito,808,palito,palito,paja,straw,TRUE,dict
partiré,808,partiré,partiré,parroquiano,[UNTRANSLATED] parroquiano,FALSE,untranslated
plagado,808,plagado,plagado,pista,tennis court / squash court / basketball court,TRUE,dict
reducirá,808,reducirá,reducirá,recurrir,resort,TRUE,dict
starbucks,808,starbucks,starbucks,spanish,[UNTRANSLATED] spanish,FALSE,untranslated
vigilarlo,808,vigilarlo,vigilarlo,victoria,stage win / victory,TRUE,dict
alterando,807,alterando,alterando,alterar,alter,TRUE,dict
balada,807,balada,balada,bajo,low / short / under,TRUE,dict
carmine,807,carmine,carmine,carlota,carlota,TRUE,dict
corsé,807,corsé,corsé,corromper,corrupt,TRUE,dict
cultivan,807,cultivan,cultivan,culpar,blame,TRUE,dict
desfilar,807,desfilar,desfilar,desestimar,[UNTRANSLATED] desestimar,FALSE,untranslated
disputará,807,disputará,disputará,disponer,have,TRUE,dict
estropea,807,estropea,estropea,estresante,[UNTRANSLATED] estresante,FALSE,untranslated
filtrar,807,filtrar,filtrar,filmar,film,TRUE,dict
formuló,807,formuló,formuló,formar,form,TRUE,dict
muerden,807,muerden,muerden,mucho,much / many / a lot of,TRUE,dict
oírnos,807,oírnos,oírnos,ovación,ovation,TRUE,dict
participaba,807,participaba,participaba,parir,bear,TRUE,dict
persuasivo,807,persuasivo,persuasivo,persecución,chase / persecution / pursuit,TRUE,dict
planificado,807,planificado,planificado,pj,[UNTRANSLATED] pj,FALSE,untranslated
rabbit,807,rabbit,rabbit,quitar,take / remove,TRUE,dict
seque,807,seque,seque,sentir,feel / be,TRUE,dict
sociólogo,807,sociólogo,sociólogo,sobretodo,overcoat,TRUE,dict
céspedes,806,céspedes,céspedes,cédula,[UNTRANSLATED] cédula,FALSE,untranslated
definirse,806,definirse,definirse,defender,advocate / defend,TRUE,dict
desvelar,806,desvelar,desvelar,destruir,destroy,TRUE,dict
enamoran,806,enamoran,enamoran,empírico,empirical,TRUE,dict
finito,806,finito,finito,financiero,financial,TRUE,dict
friki,806,friki,friki,fresca,[UNTRANSLATED] fresca,FALSE,untranslated
fundaciones,806,fundaciones,fundaciones,funcionar,function / operate / run,TRUE,dict
hematomas,806,hematomas,hematomas,helada,frost,TRUE,dict
impasible,806,impasible,impasible,imitación,imitation,TRUE,dict
leerá,806,leerá,leerá,lear,[UNTRANSLATED] lear,FALSE,untranslated
peldaños,806,peldaños,peldaños,peg,[UNTRANSLATED] peg,FALSE,untranslated
quique,806,quique,quique,querer,to want,TRUE,override
rentables,806,rentables,rentables,renacer,[UNTRANSLATED] renacer,FALSE,untranslated
santamaría,806,santamaría,santamaría,sancionar,sanction,TRUE,dict
solita,806,solita,solita,soga,rope,TRUE,dict
viéramos,806,viéramos,viéramos,vitalidad,vitality,TRUE,dict
agria,805,agria,agria,agresor,aggressor / assailant,TRUE,dict
catalanas,805,catalanas,catalanas,casualidad,chance,TRUE,dict
caótica,805,caótica,caótica,caíste,[UNTRANSLATED] caíste,FALSE,untranslated
daniela,805,daniela,daniela,dar,to give,TRUE,override
derivar,805,derivar,derivar,derby,[UNTRANSLATED] derby,FALSE,untranslated
esclavas,805,esclavas,esclavas,escasear,[UNTRANSLATED] escasear,FALSE,untranslated
exceptuando,805,exceptuando,exceptuando,excavador,excavator,TRUE,dict
extremidad,805,extremidad,extremidad,extrañamente,strangely,TRUE,dict
eyes,805,eyes,eyes,extremado,[UNTRANSLATED] extremado,FALSE,untranslated
gerentes,805,gerentes,gerentes,geológico,geological,TRUE,dict
hester,805,hester,hester,héroe,hero / heroine,TRUE,dict
intimidado,805,intimidado,intimidado,intervalo,interval,TRUE,dict
involucre,805,involucre,involucre,invitar,invite,TRUE,dict
irremediablemente,805,irremediablemente,irremediablemente,ir,to go,TRUE,override
kylie,805,kylie,kylie,kramer,[UNTRANSLATED] kramer,FALSE,untranslated
loft,805,loft,loft,local,venue / local,TRUE,dict
montículo,805,montículo,montículo,montaje,setting,TRUE,dict
orfeo,805,orfeo,orfeo,orar,[UNTRANSLATED] orar,FALSE,untranslated
perturba,805,perturba,perturba,perseguir,chase / pursue / haunt,TRUE,dict
poblada,805,poblada,poblada,plebeyo,plebeian,TRUE,dict
prematuramente,805,prematuramente,prematuramente,preguntar,ask,TRUE,dict
realizamos,805,realizamos,realizamos,rd,[UNTRANSLATED] rd,FALSE,untranslated
rochelle,805,rochelle,rochelle,robar,steal,TRUE,dict
scottie,805,scottie,scottie,saturday,[UNTRANSLATED] saturday,FALSE,untranslated
sintieras,805,sintieras,sintieras,simular,simulate,TRUE,dict
sintiéndome,805,sintiéndome,sintiéndome,simultáneo,simultaneous,TRUE,dict
sobrevivencia,805,sobrevivencia,sobrevivencia,smoking,[UNTRANSLATED] smoking,FALSE,untranslated
bonanza,804,bonanza,bonanza,bombilla,bulb / light bulb,TRUE,dict
cerrarlo,804,cerrarlo,cerrarlo,cerrado,enclosed,TRUE,dict
clasificaciones,804,clasificaciones,clasificaciones,clarividente,[UNTRANSLATED] clarividente,FALSE,untranslated
dae,804,dae,dae,j,[UNTRANSLATED] j,FALSE,untranslated
derribo,804,derribo,derribo,derramar,shed / spill,TRUE,dict
despojado,804,despojado,despojado,desplazar,displace / scroll,TRUE,dict
dinámicas,804,dinámicas,dinámicas,dinamarca,denmark,TRUE,dict
discutían,804,discutían,discutían,discutir,argue,TRUE,dict
dominando,804,dominando,dominando,doler,hurt / ache,TRUE,dict
franky,804,franky,franky,francfort,[UNTRANSLATED] francfort,FALSE,untranslated
frotar,804,frotar,frotar,frito,[UNTRANSLATED] frito,FALSE,untranslated
guineas,804,guineas,guineas,gueto,[UNTRANSLATED] gueto,FALSE,untranslated
iniciaba,804,iniciaba,iniciaba,ingresar,[UNTRANSLATED] ingresar,FALSE,untranslated
nachos,804,nachos,nachos,mirar,look / glance / watch,TRUE,dict
pack,804,pack,pack,oír,hear,TRUE,dict
pasarían,804,pasarían,pasarían,parásito,parasite / parasitic,TRUE,dict
prof.,804,prof.,prof,procreación,procreation,TRUE,dict
pórtico,804,pórtico,pórtico,parar,halt / pay / pause,TRUE,dict
quemarlo,804,quemarlo,quemarlo,quedense,[UNTRANSLATED] quedense,FALSE,untranslated
recuperaron,804,recuperaron,recuperaron,prefix_re_corta,[UNTRANSLATED] prefix_re_corta,FALSE,untranslated
referías,804,referías,referías,reducir,reduce,TRUE,dict
requirió,804,requirió,requirió,reproche,[UNTRANSLATED] reproche,FALSE,untranslated
restablecimiento,804,restablecimiento,restablecimiento,respiración,breath / breathing / respiration,TRUE,dict
solano,804,solano,solano,sociable,sociable,TRUE,dict
sony,804,sony,sony,something,[UNTRANSLATED] something,FALSE,untranslated
toser,804,toser,toser,toreo,bullfighting,TRUE,dict
toxicológico,804,toxicológico,toxicológico,torpeza,awkwardness / clumsiness,TRUE,dict
tristan,804,tristan,tristan,trent,[UNTRANSLATED] trent,FALSE,untranslated
volaremos,804,volaremos,volaremos,vivir,live,TRUE,dict
amplificador,803,amplificador,amplificador,ampliar,broaden / expand / enlarge,TRUE,dict
antillas,803,antillas,antillas,antiguo,ancient / antique,TRUE,dict
aparezco,803,aparezco,aparezco,aparentemente,apparently / ostensibly,TRUE,dict
bruscos,803,bruscos,bruscos,bruno,[UNTRANSLATED] bruno,FALSE,untranslated
chillando,803,chillando,chillando,chihuahua,[UNTRANSLATED] chihuahua,FALSE,untranslated
condes,803,condes,condes,condenar,condemn / convict / doom,TRUE,dict
dandy,803,dandy,dandy,damelo,[UNTRANSLATED] damelo,FALSE,untranslated
discapacitado,803,discapacitado,discapacitado,dirty,[UNTRANSLATED] dirty,FALSE,untranslated
engordado,803,engordado,engordado,engaño,deception,TRUE,dict
enseñara,803,enseñara,enseñara,ensayista,essayist,TRUE,dict
floración,803,floración,floración,flequillo,fringe,TRUE,dict
ilícita,803,ilícita,ilícita,iluminado,[UNTRANSLATED] iluminado,FALSE,untranslated
inesperadas,803,inesperadas,inesperadas,industria,industry,TRUE,dict
insinuar,803,insinuar,insinuar,inseguridad,insecurity,TRUE,dict
janis,803,janis,janis,jake,[UNTRANSLATED] jake,FALSE,untranslated
kaiser,803,kaiser,kaiser,juzgado,court,TRUE,dict
libanés,803,libanés,libanés,levantar,erect / raise,TRUE,dict
limitarse,803,limitarse,limitarse,liga,rowing boats' league / traineras' league / league,TRUE,dict
llantos,803,llantos,llantos,llamar,call,TRUE,dict
mascara,803,mascara,mascara,martinez,martinez,TRUE,dict
mimado,803,mimado,mimado,milicia,militia,TRUE,dict
ovario,803,ovario,ovario,ostensible,[UNTRANSLATED] ostensible,FALSE,untranslated
pateado,803,pateado,pateado,pasional,[UNTRANSLATED] pasional,FALSE,untranslated
periférica,803,periférica,periférica,perdón,pardon,TRUE,dict
peritos,803,peritos,peritos,perezoso,lazy,TRUE,dict
prometidos,803,prometidos,prometidos,progreso,progress / headway,TRUE,dict
provocará,803,provocará,provocará,prototipo,prototype,TRUE,dict
senti,803,senti,senti,senderismo,hiking,TRUE,dict
sienes,803,sienes,sienes,sherry,[UNTRANSLATED] sherry,FALSE,untranslated
soportaría,803,soportaría,soportaría,sonny,[UNTRANSLATED] sonny,FALSE,untranslated
travesti,803,travesti,travesti,trasladar,move,TRUE,dict
tumbada,803,tumbada,tumbada,trufa,truffle,TRUE,dict
verosímil,803,verosímil,verosímil,ver,to see,TRUE,override
vibrar,803,vibrar,vibrar,vestigio,trace,TRUE,dict
vietnamitas,803,vietnamitas,vietnamitas,viceministro,[UNTRANSLATED] viceministro,FALSE,untranslated
afrenta,802,afrenta,afrenta,afortunado,fortunate / lucky,TRUE,dict
aha,802,aha,aha,agarrar,hold,TRUE,dict
asar,802,asar,asar,asalto,round,TRUE,dict
bid,802,bid,bid,bichito,[UNTRANSLATED] bichito,FALSE,untranslated
cazo,802,cazo,cazo,cazador,hunter,TRUE,dict
chloé,802,chloé,chloé,chispa,spark,TRUE,dict
continuara,802,continuara,continuara,contingente,contingent,TRUE,dict
controvertido,802,controvertido,controvertido,controlar,control / monitor,TRUE,dict
decapitado,802,decapitado,decapitado,debutar,debut,TRUE,dict
donner,802,donner,donner,donar,[UNTRANSLATED] donar,FALSE,untranslated
enderezar,802,enderezar,enderezar,encuentro,meeting / encounter,TRUE,dict
estelle,802,estelle,estelle,estatal,state,TRUE,dict
gastes,802,gastes,gastes,gasa,gauze,TRUE,dict
guatemalteca,802,guatemalteca,guatemalteca,guardar,save,TRUE,dict
incredulidad,802,incredulidad,incredulidad,inconstitucionalidad,[UNTRANSLATED] inconstitucionalidad,FALSE,untranslated
jodie,802,jodie,jodie,jiro,[UNTRANSLATED] jiro,FALSE,untranslated
mclaren,802,mclaren,mclaren,maza,maza,TRUE,dict
muévelo,802,muévelo,muévelo,music,[UNTRANSLATED] music,FALSE,untranslated
preservativos,802,preservativos,preservativos,presencial,face-to-face,TRUE,dict
registren,802,registren,registren,regalar,give,TRUE,dict
siguiéndome,802,siguiéndome,siguiéndome,sientense,[UNTRANSLATED] sientense,FALSE,untranslated
subirlo,802,subirlo,subirlo,strike,[UNTRANSLATED] strike,FALSE,untranslated
suscita,802,suscita,suscita,suposición,assumption / guess / supposition,TRUE,dict
ventanillas,802,ventanillas,ventanillas,vender,sell,TRUE,dict
abandonaría,801,abandonaría,abandonaría,abandonar,abandon / quit,TRUE,dict
abonados,801,abonados,abonados,abominable,abominable,TRUE,dict
after,801,after,after,afrontar,confront / brave / face,TRUE,dict
aquino,801,aquino,aquino,aquello,that,TRUE,dict
arístides,801,arístides,arístides,arzobispo,archbishop,TRUE,dict
better,801,better,better,beth,[UNTRANSLATED] beth,FALSE,untranslated
cedric,801,cedric,cedric,cecily,[UNTRANSLATED] cecily,FALSE,untranslated
charo,801,charo,charo,charlar,chat,TRUE,dict
colector,801,colector,colector,coleccionar,collect,TRUE,dict
conservarlo,801,conservarlo,conservarlo,conservar,conserve,TRUE,dict
creerse,801,creerse,creerse,creer,believe / think,TRUE,dict
darth,801,darth,darth,dar,to give,TRUE,override
dover,801,dover,dover,dotación,endowment,TRUE,dict
drástica,801,drástica,drástica,drogar,drug,TRUE,dict
ejercitar,801,ejercitar,ejercitar,ejecutor,executor,TRUE,dict
engañosa,801,engañosa,engañosa,engañar,cheat / deceive / dupe,TRUE,dict
estancado,801,estancado,estancado,estallar,burst,TRUE,dict
estaño,801,estaño,estaño,estar,to be (state/location),TRUE,override
heat,801,heat,heat,hayley,[UNTRANSLATED] hayley,FALSE,untranslated
knicks,801,knicks,knicks,kimchi,[UNTRANSLATED] kimchi,FALSE,untranslated
liberará,801,liberará,liberará,leña,firewood,TRUE,dict
lúgubre,801,lúgubre,lúgubre,lavar,wash / launder,TRUE,dict
macabro,801,macabro,macabro,léxico,lexical / lexicon,TRUE,dict
mezquina,801,mezquina,mezquina,metrópoli,metropolis,TRUE,dict
ordenados,801,ordenados,ordenados,opresor,[UNTRANSLATED] opresor,FALSE,untranslated
piñata,801,piñata,piñata,pisar,put / step,TRUE,dict
quitarán,801,quitarán,quitarán,quinina,quinine,TRUE,dict
reanimación,801,reanimación,reanimación,reaccionar,react,TRUE,dict
rolf,801,rolf,rolf,rodear,surround,TRUE,dict
sonreir,801,sonreir,sonreir,sombra,shade / shadow / eye shadow,TRUE,dict
tertulias,801,tertulias,tertulias,terminar,finish / end,TRUE,dict
triunfó,801,triunfó,triunfó,tribunal,bankruptcy court / court,TRUE,dict
yéndose,801,yéndose,yéndose,years,[UNTRANSLATED] years,FALSE,untranslated
abbie,800,abbie,abbie,abba,[UNTRANSLATED] abba,FALSE,untranslated
aburriendo,800,aburriendo,aburriendo,aburrido,boring,TRUE,dict
afirmarse,800,afirmarse,afirmarse,afirmar,affirm / assert / claim,TRUE,dict
amazing,800,amazing,amazing,amateur,amateur,TRUE,dict
canada,800,canada,canada,campeón,champion,TRUE,dict
caoba,800,caoba,caoba,cantor,cantor,TRUE,dict
cerrarla,800,cerrarla,cerrarla,cerrado,enclosed,TRUE,dict
channel,800,channel,channel,champiñón,mushroom,TRUE,dict
debieras,800,debieras,debieras,deber,homework / duty / have,TRUE,dict
deseabas,800,deseabas,deseabas,descuidado,[UNTRANSLATED] descuidado,FALSE,untranslated
dispararles,800,dispararles,dispararles,disparar,fire / shoot,TRUE,dict
espéreme,800,espéreme,espéreme,esporádico,sporadic,TRUE,dict
fetiche,800,fetiche,fetiche,ferrol,[UNTRANSLATED] ferrol,FALSE,untranslated
fluyendo,800,fluyendo,fluyendo,flotar,float,TRUE,dict
gordillo,800,gordillo,gordillo,goma,rubber,TRUE,dict
inaccesible,800,inaccesible,inaccesible,impulsivo,impulsive,TRUE,dict
jarras,800,jarras,jarras,janet,[UNTRANSLATED] janet,FALSE,untranslated
lavas,800,lavas,lavas,lauda,[UNTRANSLATED] lauda,FALSE,untranslated
logia,800,logia,logia,localizar,locate / trace,TRUE,dict
noona,800,noona,noona,noche,night,TRUE,dict
protegerle,800,protegerle,protegerle,proponer,propose,TRUE,dict
provenza,800,provenza,provenza,proteger,protect,TRUE,dict
rectangular,800,rectangular,rectangular,recordar,have / remember / remind,TRUE,dict
riesgoso,800,riesgoso,riesgoso,rhea,[UNTRANSLATED] rhea,FALSE,untranslated
anden,799,anden,anden,andar,walk,TRUE,dict
baekje,799,baekje,baekje,bacteriano,[UNTRANSLATED] bacteriano,FALSE,untranslated
baña,799,baña,baña,bayoneta,bayonet,TRUE,dict
climáticas,799,climáticas,climáticas,cliché,[UNTRANSLATED] cliché,FALSE,untranslated
cuclillas,799,cuclillas,cuclillas,cuchara,spoon,TRUE,dict
cuéllar,799,cuéllar,cuéllar,cuyo,whose,TRUE,dict
desapareces,799,desapareces,desapareces,desamor,[UNTRANSLATED] desamor,FALSE,untranslated
dispararan,799,dispararan,dispararan,disolver,dissolve,TRUE,dict
escucharía,799,escucharía,escucharía,escuchar,listen,TRUE,dict
eventualidad,799,eventualidad,eventualidad,evangélico,evangelic,TRUE,dict
exclusivas,799,exclusivas,exclusivas,excesivo,excessive,TRUE,dict
fundición,799,fundición,fundición,fundación,foundation,TRUE,dict
grava,799,grava,grava,grantham,[UNTRANSLATED] grantham,FALSE,untranslated
juristas,799,juristas,juristas,juno,[UNTRANSLATED] juno,FALSE,untranslated
kings,799,kings,kings,khalid,[UNTRANSLATED] khalid,FALSE,untranslated
llamarían,799,llamarían,llamarían,llaga,sore,TRUE,dict
madden,799,madden,madden,macbeth,[UNTRANSLATED] macbeth,FALSE,untranslated
pesquisas,799,pesquisas,pesquisas,perverso,perverse,TRUE,dict
reí,799,reí,reí,prefix_re_viso,[UNTRANSLATED] prefix_re_viso,FALSE,untranslated
sociológico,799,sociológico,sociológico,sobresalto,[UNTRANSLATED] sobresalto,FALSE,untranslated
óyeme,799,óyeme,óyeme,época,period / epoch,TRUE,dict
agradar,798,agradar,agradar,agradable,pleasant / agreeable,TRUE,dict
animando,798,animando,animando,animal,animal,TRUE,dict
asemeja,798,asemeja,asemeja,asegurar,ensure / assure / insure,TRUE,dict
avergüences,798,avergüences,avergüences,avergonzar,embarrass,TRUE,dict
cazan,798,cazan,cazan,cayetano,[UNTRANSLATED] cayetano,FALSE,untranslated
chocan,798,chocan,chocan,chita,[UNTRANSLATED] chita,FALSE,untranslated
clem,798,clem,clem,clavel,carnation,TRUE,dict
cloruro,798,cloruro,cloruro,clip,clip,TRUE,dict
concubina,798,concubina,concubina,concordancia,concordance,TRUE,dict
desalojar,798,desalojar,desalojar,desagradar,dislike / displease,TRUE,dict
dramáticamente,798,dramáticamente,dramáticamente,dra,dr.,TRUE,dict
eutanasia,798,eutanasia,eutanasia,eunice,[UNTRANSLATED] eunice,FALSE,untranslated
falcon,798,falcon,falcon,factura,bill / invoice,TRUE,dict
god,798,god,god,gnomo,gnome,TRUE,dict
hazmerreír,798,hazmerreír,hazmerreír,hawkins,[UNTRANSLATED] hawkins,FALSE,untranslated
linden,798,linden,linden,limpiar,clean / wipe,TRUE,dict
mackey,798,mackey,mackey,m,[UNTRANSLATED] m,FALSE,untranslated
ryo,798,ryo,ryo,ruidoso,noisy,TRUE,dict
steel,798,steel,steel,spiderman,[UNTRANSLATED] spiderman,FALSE,untranslated
suegros,798,suegros,suegros,suceder,[UNTRANSLATED] suceder,FALSE,untranslated
agrade,797,agrade,agrade,agradar,like,TRUE,dict
agropecuario,797,agropecuario,agropecuario,agrio,sour / cold-short,TRUE,dict
anhelos,797,anhelos,anhelos,anhelar,long / yearn,TRUE,dict
argumentando,797,argumentando,argumentando,argot,slang,TRUE,dict
atenea,797,atenea,atenea,atender,attend,TRUE,dict
basilio,797,basilio,basilio,baseball,[UNTRANSLATED] baseball,FALSE,untranslated
brujos,797,brujos,brujos,bruces,[UNTRANSLATED] bruces,FALSE,untranslated
capitalización,797,capitalización,capitalización,capi,[UNTRANSLATED] capi,FALSE,untranslated
catastrófico,797,catastrófico,catastrófico,catalogar,catalog,TRUE,dict
celebremos,797,celebremos,celebremos,celebrado,celebrated,TRUE,dict
colgaron,797,colgaron,colgaron,colgar,hang / hang-up,TRUE,dict
contrarias,797,contrarias,contrarias,contraer,contract,TRUE,dict
desliz,797,desliz,desliz,desigualdad,inequality,TRUE,dict
donnelly,797,donnelly,donnelly,donante,donor,TRUE,dict
embajadas,797,embajadas,embajadas,elástico,elastic,TRUE,dict
facilmente,797,facilmente,facilmente,facción,faction,TRUE,dict
iconos,797,iconos,iconos,ir,to go,TRUE,override
indulgencia,797,indulgencia,indulgencia,indispuesto,[UNTRANSLATED] indispuesto,FALSE,untranslated
markham,797,markham,markham,maricón,[UNTRANSLATED] maricón,FALSE,untranslated
meditando,797,meditando,meditando,mediano,average,TRUE,dict
